༄༅།། བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ་ཞེས་བྱ་བ་བཞུགས་སོ།། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ།།	The Way of the Bodhisattva The Excellence of Bodhichitta Homage to all Buddhas and Bodhisattvas.
ཡིད་ལ་བསམས་པའི་དགེ་བྱས་པས།། གང་དང་གང་དུ་འགྲོ་འགྱུར་བ།། དེ་དང་དེར་ནི་བསོད་ནམས་དེས།། འབྲས་བུའི་ཡོན་གྱིས་མངོན་མཆོད་འགྱུར།།	But if my acts are good, sincerely intended, Then no matter where I turn my steps, The merit gained will honor me With its resulting benefits.
སྡིག་པ་བྱེད་པ་བདེ་འདོད་ཀྱང་།། གང་དང་གང་དུ་འགྲོ་འགྱུར་བ།། དེ་དང་དེར་ནི་སྡིག་པ་དེས།། སྡུག་བསྔལ་མཚོན་གྱིས་རྣམ་པར་འཇོམས།།	But if, through seeking happiness, my deeds are wrong, No matter where I turn my steps, The knives of misery will cut me down, The wage and retribution of a sinful life.
རྒྱ་ཆེ་དྲི་བཟང་བསིལ་བའི་པདྨའི་སྙིང་པོར་གནས།། རྒྱལ་བའི་གསུང་སྙན་ཟས་ཀྱིས་གཟི་བརྗིད་བསྐྱེད་བྱས་པ།།	Through virtue I will rest within the cool heart of a fragrant spreading lotus, With splendor nurtured by the sweet words of the Conqueror.
ཐུབ་འོད་ཀྱིས་རྒྱས་པདྨ་ལས་བྱུང་ལུས་མཆོག་ཅན།། རྒྱལ་བའི་མདུན་གནས་བདེ་གཤེགས་སྲས་སུ་དགེ་བས་འགྱུར།།	Then from the lotus opened in the Sage’s light, in supreme form I will arise To dwell, the blissful Buddha’s heir, in presence of Victorious Ones.
གཤིན་རྗེའི་སྐྱེས་བུས་པགས་པ་མ་ལུས་བཤུས་པས་ཉམ་ཐག་ཅིང་།།	Or else as wages of my many sins, my skin completely flayed, I shall be utterly brought low By creatures of the Lord of Death,
རབ་ཏུ་ཚ་བའི་མེ་ཡིས་བཞུས་པའི་ཟངས་ཞུན་ལུས་ལ་བླུགས་གྱུར་ལ།། འབར་བའི་རལ་གྲི་མདུང་ཐུང་གིས་བསྣུན་ཤ་ཡི་དུམ་བུ་བརྒྱར་ལྷགས་ཤིང་།། ཤིན་ཏུ་འབར་བའི་ལྕགས་ཀྱི་ས་གཞིར་ལྷུང་བ་མི་དགེ་མང་པོས་འགྱུར།།	who on my body pour a liquid bronze all melted in the dreadful blaze.And pierced by burning swords and knives, my flesh Dismembered in a hundred parts will fall upon the white-hot iron ground.
དེ་བས་དགེ་ལ་མོས་བྱ་ཞིང་།། གུས་པ་ཉིད་དུ་བསྒོམ་པར་བྱ།།	Therefore I will aspire and tend to virtue, And steep myself in it with great devotion.
རྡོ་རྗེ་རྒྱལ་མཚན་ཆོ་ག་ཡིས།། བརྩམས་ནས་ང་རྒྱལ་བསྒོམ་པར་བྱ།།	And with the method stated in the Vajradhvaja, I will train in confident assurance.
དང་པོར་འབྱོར་པ་བརྟགས་ནས་ནི།། བརྩམ་མམ་ཡང་ན་མི་བརྩམ་བྱ།།	Let me first consider my reserves— To start or not to start accordingly.
མ་བརྩམ་པ་ཉིད་མཆོག་ཡིན་གྱི།། བརྩམས་ནས་ལྡོག་པར་མི་བྱའོ།།	It might be better not to start, But once begun, I should not then withdraw.
སྐྱེ་བ་གཞན་དུ་དེ་གོམས་ཤིང་།། སྡིག་དང་སྡུག་བསྔལ་འཕེལ་བར་འགྱུར།།	For if I do such things, the pattern will return In later lives, and sin and pain will grow.
གཞན་དུ་འབྲས་བུའི་དུས་ཀྱང་ནི།། དམན་འགྱུར་དེ་ཡང་འགྲུབ་མི་འགྱུར།།	And other actions will be left undone Or else will bear a meager fruit.
ལས་དང་ཉོན་མོངས་ནུས་པ་སྟེ།། གསུམ་པོ་དག་ལ་ང་རྒྱལ་བྱ།།	Action, the afflictions, and ability: Three things to which my pride should be directed.
བདག་ཉིད་གཅིག་པུས་བྱའོ་ཞེས།།	“I will do this, I myself, alone!”
འདི་ནི་ལས་ཀྱི་ང་རྒྱལ་ཉིད།།	These words define my pride of action.
ཉོན་མོངས་དབང་མེད་འཇིག་རྟེན་འདིས།། རང་དོན་སྒྲུབ་པར་མི་ནུས་པས།།	Overpowered by their minds’ afflictions, Worldly folk are helpless to secure their happiness.
འགྲོ་བས་བདག་ལྟར་མི་ནུས་ཏེ།།	Compared with those who wander, I am able!
དེ་བས་བདག་གིས་འདི་བྱའོ།།	This therefore shall be my task.
གཞན་དག་དམན་པའི་ལས་བྱེད་ན།། བདག་ཉིད་ཀྱང་ནི་ཇི་ལྟར་འདུག།	When others give themselves to low behavior, What shall be my stance in their regard?
ང་རྒྱལ་གྱིས་ནི་མི་བྱེད་དེ།། བདག་ལ་ང་རྒྱལ་མེད་པ་མཆོག།	In any case, I’ll not be arrogant; My best way is to give up such conceit.
ཤི་བའི་སྦྲུལ་དང་ཕྲད་གྱུར་ན།། ཁྭ་ཡང་མཁའ་ལྡིང་ལྟ་བུར་སྤྱོད།།	When they find a dying serpent, Even crows behave like soaring eagles.
གལ་ཏེ་བདག་ཉིད་ཉམ་ཆུང་ན།། ལྟུང་བ་ཆུང་ངུའང་གནོད་པར་བྱེད།།	Therefore if I’m weak and feeble-hearted, Even little faults will strike and injure me.
ཞུམ་བཅས་རྩོལ་བ་དོར་བ་ལ།། ཕོངས་ལས་ཐར་པ་ཡོད་དམ་ཅི།།	But if, depressed, I give up trying, How can I gain freedom from my abject state?
ང་རྒྱལ་རྩོལ་བ་བསྐྱེད་བྱས་ན།། ཆེན་པོ་ཡིས་ཀྱང་ཐུབ་པར་དཀའ།།	But if I stand my ground with proud resolve, It will be hard for even great faults to attack me.
དེ་བས་སེམས་ནི་བརྟན་པ་ཡིས།། ལྟུང་བ་རྣམས་ནི་གཞོམ་བྱ་སྟེ།།	Therefore with a steadfast heart I’ll get the better of my weaknesses.
བདག་ནི་ལྟུང་བས་ཕམ་བྱས་ན།། ཁམས་གསུམ་རྒྱལ་འདོད་བཞད་གད་འགྱུར།།	But if my failings get the upper hand, My wish to overcome the triple world is laughable indeed.
བདག་གིས་ཀུན་ལས་རྒྱལ་བྱ་སྟེ།། བདག་ལས་སུ་ཡང་རྒྱལ་མི་བྱ།།	“I will be victor over all, And nothing shall prevail and bring me down!”
རྒྱལ་བ་སེང་གེའི་སྲས་བདག་གིས།། ང་རྒྱལ་འདི་ལ་གནས་པར་བྱ།།	The offspring of the Lion, the Conqueror, Should constantly abide in this self-confidence.
འགྲོ་གང་ང་རྒྱལ་གྱིས་བཅོམ་དེ།། ཉོན་མོངས་ང་རྒྱལ་ཅན་མ་ཡིན།།	Those whom arrogance destroys Are thus defiled; they lack self-confidence.
ང་རྒྱལ་ཅན་དགྲའི་དབང་མི་འགྲོ།། དེ་དག་ང་རྒྱལ་དགྲ་དབང་གྱུར།།	Those who have true confidence escape the foe, While others fall into the power of an evil pride.
ཉོན་མོངས་ང་རྒྱལ་གྱིས་ཁེངས་ནས།། ངན་འགྲོར་ང་རྒྱལ་གྱིས་ཁྲིད་ཅིང་།།	When arrogance inflates the mind, It draws it down to states of misery—
མི་ཡི་དགའ་སྟོན་བཅོམ་པ་དང་།། གཞན་གྱི་ཟན་ཟའི་བྲན་དང་ནི།། གླེན་པ་མི་སྡུག་ཉམ་ཆུང་དང་།། ཐམས་ཅད་དུ་ནི་བརྙས་པར་འགྱུར།།	Or ruins happiness, should human birth be gained.Thus one is born a slave, dependent for one’s sustenance, Or feebleminded, ugly, without strength, The butt and laughingstock of everyone.
ང་རྒྱལ་གྱིས་ཁེངས་དཀའ་ཐུབ་ཅན།།	These “ascetics” puffed up with conceit!
དེ་ཡང་ང་རྒྱལ་ཅན་གཏོགས་ན།། དམན་པ་ཅི་འདྲ་ཡིན་པ་སྨྲོས།།	If these you call the proud, then tell me who are wretched?
གང་ཞིག་ང་རྒྱལ་དགྲ་ལས་རྒྱལ་ཕྱིར་ང་རྒྱལ་འཆང་།། དེ་ནི་ང་རྒྱལ་ཅན་དང་རྣམ་རྒྱལ་དཔའ་དེ་ཉིད།།	Those who uphold pride to vanquish pride, the enemy, Are truly proud, victorious, and brave.
གང་ཞིག་ང་རྒྱལ་དགྲ་བདོ་བ་ཡང་ངེས་བཅོམ་སྟེ།། འགྲོ་ལ་འདོད་བཞིན་རྒྱལ་བའི་འབྲས་བུ་རྫོགས་པར་བྱེད།།	And they who stem the increase of that evil pride, Perfect, according to their wish, the fruit of victory for beings.
ཉོན་མོངས་ཕྱོགས་ཀྱི་ཁྲོད་གནས་ན།། རྣམ་པ་སྟོང་དུ་བསྲན་གཟུག་སྟེ།།	When I am beleaguered by defilements, I will stand and face them in a thousand ways.
ཝ་ལ་སོགས་པས་སེང་གེ་བཞིན།། ཉོན་མོངས་ཚོགས་ཀྱིས་མི་ཚུགས་བྱ།།	I’ll not surrender to the host of the afflictions But like a lion I will stand amid a crowd of foxes.
ཉམ་ང་ཆེ་ཐང་བྱུང་གྱུར་ཀྱང་།། མི་ཡིས་མིག་ནི་བསྲུང་བ་ལྟར།།	However great may be their peril, People will by reflex guard their eyes.
དེ་བཞིན་ཉམ་ང་བྱུང་གྱུར་ཀྱང་།། ཉོན་མོངས་དབང་དུ་མི་འགྱུར་བྱ།།	And likewise I, whatever dangers come, Must not fall down beneath defilement’s power.
བདག་ནི་བསྲེགས་ཏེ་བསད་གྱུར་ཏམ།། བདག་གི་མགོ་བོ་བཅད་ཀྱང་སླའི།།	Better for me to be burned to death, And better to be killed, my head cut off!
རྣམ་པ་ཀུན་ཏུ་ཉོན་མོངས་པའི།། དགྲ་ལ་འདུད་པར་མི་བྱའོ།།	At no time will I bow and scrape Before that foe of mine, defiled emotion.
དེ་བཞིན་གནས་སྐབས་ཐམས་ཅད་དུ།། རིགས་པ་ལས་ནི་གཞན་མི་སྤྱད།།	Thus in every time and place I will not wander from the wholesome path.
རྩེད་མོའི་བདེ་འབྲས་འདོད་པ་ལྟར།། འདི་ཡི་བྱ་བའི་ལས་གང་ཡིན།། ལས་དེ་ལ་ནི་ཞེན་བྱ་སྟེ།། ལས་དེས་མི་ངོམས་དགའ་བར་བྱ།།	Like those who take great pleasure in their games, Whatever task the Bodhisattvas do, Let them devote themselves without reserve, With joyfulness that never knows satiety.
བདེ་བའི་དོན་དུ་ལས་བྱས་ཀྱང་།། བདེ་འགྱུར་མི་འགྱུར་གཏོལ་མེད་ཀྱི།།	People labor hard to gain contentment Though success is very far from sure.
གང་གི་ལས་ཉིད་བདེ་འགྱུར་བ།། དེ་ལས་མི་བྱེད་ཇི་ལྟར་བདེ།།	But how can they be happy if they do not do Those deeds that are the source of joy to them?
སྤུ་གྲིའི་སོར་ཆགས་སྦྲང་རྩི་ལྟའི།། འདོད་པ་རྣམས་ཀྱིས་མི་ངོམས་ན།། རྣམ་སྨིན་བདེ་ལ་ཞི་བ་ཡི།། བསོད་ནམས་ཀྱིས་ལྟ་ཅི་སྟེ་ངོམས།།	And since they never have enough of pleasure, Honey on the razor’s edge, How could they have enough of merit, Fruits of which are happiness and peace?
དེ་ལྟས་ལས་ཚར་ཕྱིན་བྱའི་ཕྱིར།། ཉི་མ་ཕྱེད་དུས་གདུངས་པ་ཡི།། གླང་ཆེན་མཚོ་ཕྲད་མཚོར་འཇུག་ལྟར།། ལས་དེ་ལ་ཡང་འཇུག་པར་བྱ།།	The elephant, tormented by the noonday sun, Will dive into the waters of a lake, And likewise I must plunge into my work That I might bring it to completion.
སྟོབས་ཉམས་པ་དང་རྗེས་འབྲེལ་ན།། སླར་བྱའི་དོན་དུ་འདོར་བར་བྱ།།	If impaired by weakness or fatigue, I’ll lay the work aside, the better to resume.
ལེགས་པར་ཟིན་ན་ཕྱི་མ་དང་།། ཕྱི་མ་འདོད་པས་དེ་སྤང་བྱ།།	And I will leave the task when it’s complete, All avid for the work that’s next to come.
འཐབ་རྙིང་དགྲ་དང་ལྷན་ཅིག་ཏུ།། གཡུལ་ངོར་རལ་ཁ་ལྷགས་པ་བཞིན།། ཉོན་མོངས་མཚོན་ལས་གཟུར་བྱ་ཞིང་།། ཉོན་མོངས་དགྲ་རྣམས་འཇེབས་པར་བཏགས།།	As seasoned fighters face the swords Of enemies upon the battle line, I’ll lightly dodge the weapons of defilement, And strike my enemy upon the quick.
གཡུལ་དུ་རལ་གྲི་ལྷུང་གྱུར་ན།། འཇིགས་པས་མྱུར་དུ་ལེན་པ་ལྟར།།	If, in the fray, the soldier drops his sword, In fright, he swiftly takes it up again.
དེ་བཞིན་དྲན་པའི་མཚོན་ཤོར་ན།། དམྱལ་བའི་འཇིགས་དྲན་མྱུར་དུ་བླང་།།	So likewise, if the arm of mindfulness is lost, In fear of hell, I’ll quickly get it back!
ཇི་ལྟར་ཁྲག་ལ་རྟེན་བཅས་ནས།། དུག་ནི་ལུས་ལ་ཁྱབ་གྱུར་པ།། དེ་བཞིན་གླགས་ནི་རྙེད་གྱུར་ན།། ཉེས་པས་སེམས་ལ་ཁྱབ་པར་འགྱུར།།	Just as poison fills the body, Borne on the current of the blood, Likewise evil, when it finds its chance, Will spread and permeate the mind.
ཡུངས་མར་བཀང་བའི་སྣོད་བསྐུར་ལ།། རལ་གྲི་ཐོགས་པས་དྲུང་བསྡད་དེ།། བོ་ན་གསོད་བསྡིགས་འཇིགས་པ་ལྟར།།	I will be like a frightened man, a brimming oil-jar in his hand, And menaced by a swordsman saying, “Spill one drop and you shall die!”
བརྟུལ་ཞུགས་ཅན་གྱིས་དེ་བཞིན་བསྒྲིམ།།	This is how practitioners should hold themselves.
དེ་བས་པང་དུ་སྦྲུལ་འོངས་ན།། ཇི་ལྟར་རིངས་པས་ལྡང་བ་ལྟར།། དེ་བཞིན་གཉིད་དང་སྙོམས་འོངས་ན།། མྱུར་དུ་དེ་དག་བཟློག་པར་བྱ།།	Just as a man would swiftly stand If in his lap a serpent were to glide, If sleep and lethargy beset me, I will speedily repulse them.
ཉེས་པ་བྱུང་བ་རེ་རེ་ཞིང་།། བདག་ལ་སྨད་ནས་ཅི་ནས་ཀྱང་།། བདག་ལ་ཕྱིས་འདི་མི་འབྱུང་བ།། དེ་ལྟར་བྱ་ཞེས་ཡུན་རིང་བསམ།།	Every time, then, that I fail, I will reprove and chide myself, Thinking long that by whatever means Such faults in future shall no more occur.
ཇི་ལྟར་གནས་སྐབས་འདི་དག་ལ།། དྲན་པ་གོམས་པ་ཉིད་འགྱུར་ཞེས།།	At all times and in any situation, How can I make mindfulness my constant habit?
རྒྱུ་འདི་ཡིས་ནི་ཕྲད་པའམ།། རིགས་པའི་ལས་ནི་འདོད་པར་བྱ།།	Thinking thus I will desire To meet with teachers and fulfill the proper tasks.
ཅི་ནས་ལས་བྱེད་སྔོན་རོལ་ནས།། ཐམས་ཅད་ལ་ནི་མཐུ་ཡོད་པ།། དེ་ལྟར་བག་ཡོད་གཏམ་དྲན་ཏེ།། བདག་ཉིད་ལྡང་བ་ཡང་བར་བྱ།།	By all means, then, before I start some work, That I might have the strength sufficient to the task, I will recall the teachings upon carefulness And lightly rise to what is to be done.
ཇི་ལྟར་རླུང་ནི་འགྲོ་བ་དང་།། འོང་བས་ཤིང་བལ་དབང་སྒྱུར་བ།། དེ་བཞིན་སྤྲོ་བས་དབང་བསྒྱུར་ཏེ།། དེ་ལྟར་ན་ནི་འགྲུབ་པར་འགྱུར།།	Just as flaxen threads waft to and fro, Impelled by every breath of wind, So all I do will be achieved, Controlled by movements of a joyful heart.
བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ་ལས། བརྩོན་འགྲུས་བསྟན་པ་ཞེས་བྱ་བ་སྟེ་ལེའུ་བདུན་པའོ།།།།	
	8 Meditative Concentration
༈དེ་ལྟར་བརྩོན་འགྲུས་བསྐྱེད་ནས་ནི།། ཡིད་ནི་ཏིང་ངེ་འཛིན་ལ་བཞག།	Cultivating diligence as just described, In concentration I will place my mind.
སེམས་ནི་རྣམ་པར་གཡེངས་པའི་མི།། ཉོན་མོངས་མཆེ་བའི་ཕྲག་ན་གནས།།	For those whose minds are slack and wandering Are caught between the fangs of the afflictions.
ལུས་དང་སེམས་ནི་དབེན་པ་ཡིས།། རྣམ་པར་གཡེང་བ་མི་འབྱུང་ངོ།།	In solitude, the mind and body Are not troubled by distraction.
དེ་བས་འཇིག་རྟེན་སྤང་བྱ་ཞིང་།། རྣམ་པར་རྟོག་པ་ཡོངས་སུ་དོར།།	Therefore leave this worldly life And totally abandon mental wandering.
ཆགས་པའི་ཕྱིར་དང་རྙེད་སོགས་ལ།། སྲེད་པས་འཇིག་རྟེན་མི་སྤངས་ཏེ།།	Because of loved ones and desire for gain, We fail to turn away from worldly things.
དེ་བས་འདི་དག་ཡོངས་སྤངས་ལ།།	These, then, are the first things to renounce.
མཁས་པས་འདི་ལྟར་སྤྱད་པར་བྱ།།	The prudent should conduct themselves like this.
ཞི་གནས་རབ་ཏུ་ལྡན་པའི་ལྷག་མཐོང་གིས།། ཉོན་མོངས་རྣམ་པར་འཇོམས་པར་ཤེས་བྱས་ནས།།	Penetrative insight joined with calm abiding Utterly eradicates afflicted states.
ཐོག་མར་ཞི་གནས་བཙལ་བྱ་དེ་ཡང་ནི།། འཇིག་རྟེན་ཆགས་པ་མེད་ལ་མངོན་དགས་འགྲུབ།།	Knowing this, first search for calm abiding, Found by people who are happy to be free from worldly ties.
མི་རྟག་སུ་ཞིག་མི་རྟག་ལ།། ཡང་དག་ཆགས་པར་བྱེད་པ་ཡོད།། དེས་ནི་ཚེ་རབས་སྟོང་ཕྲག་ཏུ།། སྡུག་པར་མཐོང་བ་ཡང་མི་འགྱུར།།	Beings, brief, ephemeral, Who strongly cling to what is also transient, Will catch no glimpse of those they love For many thousands of their future lives.
མ་མཐོང་ན་ནི་དགར་མི་འགྱུར།། ཡིད་ཀྱང་མཉམ་འཇོག་མི་འགྱུར་ལ།།	Not seeing them, their minds will have no joy, They therefore will not rest in equanimity.
མཐོང་ཡང་ངོམས་པར་མི་འགྱུར་བས།། སྔར་བཞིན་སྲེད་པས་གདུང་བར་འགྱུར།།	But even if they see them, they are not content— And as before, the pain of longing stays.
སེམས་ཅན་རྣམས་ལ་ཆགས་བྱས་ན།། ཡང་དག་ཉིད་ལ་ཀུན་ནས་སྒྲིབ།།	If I crave for other beings, A veil is cast upon the perfect truth.
སྐྱོ་བའི་སེམས་ཀྱང་འཇིག་པར་བྱེད།། ཐ་མལ་མྱ་ངན་གདུང་བར་འགྱུར།།	Wholesome disillusion melts away, And finally there comes the sting of pain.
དེ་ལ་སེམས་པ་འབའ་ཞིག་གིས།། ཚེ་འདི་དོན་མེད་འདའ་བར་འགྱུར།།	My thoughts are all for them, And thus my life is frittered by.
རྟག་པ་མེད་པའི་མཛའ་བཤེས་ཀྱིས།། གཡུང་དྲུང་ཆོས་ཀྱང་འཇིག་པར་འགྱུར།།	My family and friends all change and pass, for whom The changeless Dharma is cast out.
བྱིས་དང་སྐལ་བ་མཉམ་སྤྱོད་ན།། ངེས་པར་ངན་འགྲོར་འགྲོ་འགྱུར་ཏེ།།	For if I act like childish beings, Sure it is that I shall fall to evil destinies.
སྐལ་མི་མཉམ་པར་ཁྲིད་བྱེད་ན།། བྱིས་པ་བསྟེན་པས་ཅི་ཞིག་བྱ།།	So why do I keep company with infants, Who lead me to a state so far from virtue?
སྐད་ཅིག་གཅིག་གིས་མཛའ་འགྱུར་ལ།། ཡུད་ཙམ་གྱིས་ནི་དགྲར་ཡང་འགྱུར།།	One moment friends, The next, they’re bitter enemies.
དགའ་བའི་གནས་ལ་ཁྲོ་བྱེད་པས།། སོ་སོའི་སྐྱེ་བོ་མགུ་བར་དཀའ།།	Even pleasant things arouse their discontent: Ordinary people—it is hard to please them!
ཕན་པར་སྨྲས་ན་ཁྲོ་བར་བྱེད།། བདག་ཀྱང་ཕན་ལས་ཟློག་པར་བྱེད།།	A beneficial word and they resent it, Turning me instead from what is good.
དེ་དག་ངག་ནི་མ་མཉན་ན།། ཁྲོ་བས་ངན་འགྲོར་འགྲོ་བར་འགྱུར།།	And when I close my ears to what they say, Their anger makes them fall to lower states.
མཐོ་ལ་ཕྲག་དོག་མཉམ་དང་འགྲན།། དམའ་ལ་ང་རྒྱལ་བསྟོད་ན་དྲེགས།།	Jealous of superiors, they vie with equals, Proud to those below, they strut when praised.
མི་སྙན་བརྗོད་ན་ཁོང་ཁྲོ་སྐྱེ།།	Say something untoward, they seethe with rage.
ནམ་ཞིག་བྱིས་ལས་ཕན་པ་འཐོབ།།	What good was ever had from childish folk?
བྱིས་དང་འགྲོགས་ན་བྱིས་པ་ལས།།	Keep company with them and what will follow?
བདག་བསྟོད་གཞན་ལ་སྨད་པ་དང་།། འཁོར་བར་དགའ་བའི་གཏམ་ལ་སོགས།། མི་དགེ་ཅིས་ཀྱང་ངེས་པར་འབྱུང་།།	Self-aggrandizement and scorn for others, Talk about the “good things” of saṃsāra— Every kind of vice is sure to come.
དེ་ལྟར་བདག་དང་གཞན་བསྟེན་པ།། དེས་ནི་ཕུང་བར་འགྱུར་བར་ཟད།།	Only ruin can result From such a link between myself and others.
དེས་ཀྱང་བདག་དོན་མ་བྱས་ལ།། བདག་ཀྱང་དེ་དོན་མི་འགྱུར་བས།།	For they will bring no benefit to me, And I in turn can do them nothing good.
བྱིས་ལས་ཐག་རིང་བྱོལ་བར་བྱ།།	Therefore flee the company of childish people.
ཕྲད་ན་དགའ་བས་མགུ་བྱས་ཏེ།། འདྲིས་ཆེན་ཉིད་དུ་མི་འགྱུར་བར།། ཐ་མལ་པ་ཙམ་ལེགས་པར་བྱ།།	Greet them, when you meet, with smiles That keep on terms of common courtesy, Without inviting intimate relations.
བུང་བས་མེ་ཏོག་སྦྲང་རྩི་བཞིན།། ཆོས་ཀྱི་དོན་ཙམ་བླངས་ནས་ནི།།	Like bees that get their honey from the flowers, Take only what will serve the practice of the Dharma.
ཀུན་ལ་སྔོན་ཆད་མ་མཐོང་བཞིན།། འདྲིས་པ་མེད་པར་གནས་པར་བྱ།།	Treat everyone like new acquaintances And keep yourself from close familiarity.
བདག་ནི་རྙེད་མང་བཀུར་སྟི་བཅས།། བདག་ལ་མང་པོ་དགའ་འོ་ཞེས།།	“Oh I am rich and well respected; Lots of people take delight in me.”
དེ་འདྲའི་སྙེམས་པ་འཆང་འགྱུར་ན།། ཤི་བའི་འོག་ཏུ་འཇིགས་པ་སྐྱེ།།	Nourish such complacency and later, After death, your fears will start!
དེ་བས་རྣམ་པར་རྨོངས་པའི་ཡིད།། གང་དང་གང་ལ་ཆགས་གྱུར་པ།།	Indeed, O foolish and afflicted mind, You want and crave for all and everything.
དེ་དང་དེ་བསྡོངས་སྟོང་འགྱུར་དུ།། སྡུག་བསྔལ་ཉིད་དུ་འགྱུར་ཞིང་ལྡང་།།	All this together will rise up As pain itself, increased a thousandfold.
དེ་བས་མཁས་པས་ཆགས་མི་བྱ།། ཆགས་པ་ལས་ནི་འཇིགས་པ་སྐྱེ།།	Since this is so, the wise have no attachments; From such cravings fear and anguish come.
འདི་དག་རང་བཞིན་འདོར་འགྱུར་བས།། བརྟན་པར་གྱིས་ཏེ་རབ་ཏུ་རྟོགས།།	And fix this firmly in your understanding: All that may be wished for will by nature fade to nothing.
རྙེད་པ་དག་ནི་མང་བྱུང་ཞིང་།། གྲགས་དང་སྙན་པ་བྱུང་གྱུར་ཀྱང་།།	For people may have gained great wealth of riches, Enjoying reputation, sweet renown.
རྙེད་དང་གྲགས་པའི་ཚོགས་བཅས་ཏེ།། གང་དུ་འདོང་བའི་གཏོལ་མེད་དོ།།	But who can say where they have gone to now, With all the baggage of their gold and fame?
བདག་ལ་སྨོད་པ་གཞན་ཡོད་ན།། བསྟོད་པས་བདག་དགར་ཅི་ཞིག་ཡོད།།	Why should I be pleased when people praise me?Others there will be who scorn and criticize—
བདག་ལ་བསྟོད་པ་གཞན་ཡོད་ན།། སྨད་པས་མི་དགར་ཅི་ཞིག་ཡོད།། སེམས་ཅན་མོས་པ་སྣ་ཚོགས་པ།། རྒྱལ་བས་ཀྱང་ནི་མི་མགུ་ན།།	And why despondent when I’m blamed, Since there’ll be others who think well of me?So many are the leanings and the wants of beings That even Buddha could not please them all—
བདག་འདྲ་ངན་པས་སྨོས་ཅི་དགོས།།	Of such a wretch as me no need to speak!
དེ་བས་འཇིག་རྟེན་བསམ་པ་བཏང་།།	I’ll give up such concerns with worldly things.
སེམས་ཅན་རྙེད་པ་མེད་ལ་སྨོད།། རྙེད་པ་ཅན་ལ་མི་སྙན་བརྗོད།།	People scorn the poor who have no wealth, They also criticize the rich who have it.
རང་བཞིན་འགྲོགས་དཀའ་དེ་དག་གིས།། དགའ་བ་ཇི་ལྟར་སྐྱེ་བར་འགྱུར།།	What pleasure can derive from keeping company With people such as these, so difficult to please?
གང་ཕྱིར་བྱིས་པ་རང་དོན་ནི།། མེད་པར་དགའ་བ་མི་འབྱུང་བས།།	In kindness childish beings take no delight Unless their own desires are satisfied.
བྱིས་པ་འགའ་ཡང་བཤེས་མིན་ཞེས།།	A childish person, thus, is no true friend.
དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱིས་གསུངས།།	This the Tathāgatas have declared.
ནགས་ན་རི་དྭགས་བྱ་རྣམས་དང་།། ཤིང་རྣམས་མི་སྙན་རྗོད་མི་བྱེད།། འགྲོགས་ན་བདེ་བ་དེ་དག་དང་།།	In woodlands, haunt of stag and bird, Among the trees where no dissension jars, It’s there I would keep pleasant company!
ནམ་ཞིག་ལྷན་ཅིག་བདག་གནས་འགྱུར།།	When might I be off to make my dwelling there?
ཕུག་གམ་ལྷ་ཁང་སྟོང་པའམ།། ལྗོན་ཤིང་དྲུང་དུ་གནས་བཅས་ཏེ།། ནམ་ཞིག་རྒྱབ་ཏུ་མི་བལྟ་ཞིང་།།	When shall I depart to make my home In cave or empty shrine or under spreading tree, With, in my breast, a free, unfettered heart, Which never turns to cast a backward glance?
ཆགས་པ་མེད་པར་འགྱུར་ཞིག་གུ།། ས་ཕྱོགས་བདག་གིར་བཟུང་མེད་པ།། རང་བཞིན་གྱིས་ནི་ཡངས་རྣམས་སུ།། རང་དབང་སྤྱོད་ཅིང་ཆགས་མེད་པར།།	When might I abide in such a place, A place unclaimed and ownerless, That’s wide and unconfined, a place where I might stay At liberty, without attachment?
ནམ་ཞིག་བདག་ནི་གནས་པར་འགྱུར།། ཀུན་ལ་མི་མཁོའི་གོས་འཆང་ཞིང་།། ལུས་འདི་སྦ་བར་མ་བྱས་ཀྱང་།། འཇིགས་མེད་གནས་པར་ནམ་ཞིག་འགྱུར།།	When might I be free of fear, Without the need to hide from anyone, With just a begging bowl and few belongings, Dressed in garments coveted by none?
དུར་ཁྲོད་སོང་ནས་གཞན་དག་གི། རུས་གོང་དག་དང་བདག་གི་ལུས།། འཇིག་པའི་ཆོས་ཅན་དག་ཏུ་ནི།། ནམ་ཞིག་མགོ་སྙོམས་བྱེད་པར་འགྱུར།།	And going to the charnel ground, When shall I compare My body with the dry bones there, So soon to fall to nothing, all alike?
བདག་གི་ལུས་ནི་འདི་ཉིད་ཀྱང་།། གང་གི་དྲི་ཡིས་ཝ་དག་ཀྱང་།། དྲུང་དུ་ཉེར་འགྲོ་མི་འགྱུར་བ།། དེ་ལྟ་བུར་ནི་འགྱུར་བར་འོང་།།	This form of mine, this very flesh Is soon to give out such a stench That even jackals won’t come close— And that indeed is all it will become.
