Line	Tibetan	Sanskrit
412	དེ་ཕྱིར་སེམས་ཅན་ཞིང་དང་ནི། །རྒྱལ་བའི་ཞིང་ཞེས་ཐུབ་པས་གསུངས། །འདི་དག་མགུ་བྱས་མང་པོ་ཞིག །འདི་ལྟར་ཕུན་ཚོགས་ཕ་རོལ་ཕྱིན། །	सत्त्वक्षेत्रं जिनक्षेत्रमित्यतो मुनिनोदितम्। एतानाराध्य बहवः संपत्पारं यतो गताः॥ ११२॥
413	སེམས་ཅན་རྣམས་དང་རྒྱལ་བ་ལས། །སངས་རྒྱས་ཆོས་འགྲུབ་འདྲ་བ་ལ། །རྒྱལ་ལ་གུས་བྱ་དེ་བཞིན་དུ། །སེམས་ཅན་ལ་མིན་ཅི་ཡི་ཚུལ། །	सत्त्वेभ्यश्च जिनेभ्यश्च बुद्धधर्मागमे समे। जिनेषु गौरवं यद्वन्न सत्त्वेष्विति कः क्रमः॥ ११३॥
414	བསམ་པའི་ཡོན་ཏན་རང་གིས་མིན། །འབྲས་བུ་ལས་ཡིན་དེས་མཚུངས་པར། །སེམས་ཅན་རྣམས་ལའང་ཡོན་ཏན་ཡོད། །དེ་ཕྱིར་དེ་དག་མཉམ་པ་ཡིན། །	आशयस्य च माहात्म्यं न स्वतः किं तु कार्यतः। समं च तेन माहात्म्यं सत्त्वानां तेन ते समाः॥ ११४॥
415	བྱམས་སེམས་ལྡན་ལ་མཆོད་པ་གང་། །དེ་ནི་སེམས་ཅན་ཆེ་བ་ཉིད། །སངས་རྒྱས་དད་པའི་བསོད་ནམས་གང་། །དེ་ཡང་སངས་རྒྱས་ཆེ་བ་ཉིད། །	मैत्र्याशयश्च यत्पूज्यः सत्त्वमाहात्म्यमेव तत्। बुद्धप्रसादाद्यत्पुण्यं बुद्धमाहात्म्यमेव तत्॥ ११५॥
416	སངས་རྒྱས་ཆོས་འགྲུབ་ཆ་ཡོད་པ། །དེས་ན་དེ་དག་མཉམ་པར་འདོད། །ཡོན་ཏན་རྒྱ་མཚོ་མཐའ་ཡས་པའི། །སངས་རྒྱས་རྣམས་དང་འགའ་མི་མཉམ། །	बुद्धधर्मागमांशेन तस्मात्सत्त्वा जिनैः समाः। न तु बुद्धैः समाः केचिदनन्तांशैर्गुणार्णवैः॥ ११६॥
417	ཡོན་ཏན་མཆོག་ཚོགས་གཅིག་པུ་ཡི། །ཡོན་ཏན་ཤས་ཙམ་འགའ་ཞིག་ལ། །སྣང་ནའང་དེ་ལ་མཆོད་དོན་དུ། །ཁམས་གསུམ་ཕུལ་ཡང་ཆུང་བར་འགྱུར། །	गुणसारैकराशीनां गुणोऽणुरपि चेत्क्वचित्। दृश्यते तस्य पूजार्थं त्रैलोक्यमपि न क्षमम्॥ ११७॥
418	སངས་རྒྱས་ཆོས་མཆོག་སྐྱེ་བའི་ཤས། །སེམས་ཅན་རྣམས་ལ་ཡོད་པས་ན། །འདི་ཙམ་དག་གིས་ཆ་བསྟུན་ནས། །སེམས་ཅན་མཆོད་བྱར་རིགས་པར་འགྱུར། །	बुद्धधर्मोदयांशस्तु श्रेष्ठः सत्त्वेषु विद्यते। एतदंशानुरूप्येण सत्त्वपूजा कृता भवेत्॥ ११८॥
419	གཞན་ཡང་གཡོ་མེད་གཉེན་གྱུར་ཅིང་། །ཕན་པ་དཔག་མེད་མཛད་རྣམས་ལ། །སེམས་ཅན་མགུ་བྱ་མ་གཏོགས་པར། །གཞན་གང་ཞིག་གིས་ལན་ལོན་འགྱུར། །	किं च निश्छद्मबन्धूनामप्रमेयोपकारिणाम्। सत्त्वाराधनमुत्सृज्य निष्कृतिः का परा भवेत्॥ ११९॥
420	གང་ཕྱིར་སྐུ་གཏོང་མནར་མེད་འཇུག་པ་ལ། །དེ་ལ་ཕན་བཏགས་ལན་ལོན་འགྱུར་བས་ན། །དེ་བས་འདི་དག་གནོད་ཆེན་བྱེད་ན་ཡང་། །ཐམས་ཅད་བཟང་དགུ་ཞིག་ཏུ་སྤྱད་པར་བྱ། །	भिन्दन्ति देहं प्रविशन्त्यवीचिं येषां कृते तत्र कृते कृतं स्यात्। महापकारिष्वपि तेन सर्वं कल्याणमेवाचरणीयमेषु॥ १२०॥
421	རེ་ཞིག་བདག་གི་རྗེར་གྱུར་ཉིད་ཀྱང་ནི། །གང་ཕྱིར་རང་གི་སྐུ་ལའང་མི་གཟིགས་པ། །དེ་ལ་རྨོངས་པ་བདག་གིས་ཇི་ལྟར་ན། །ང་རྒྱལ་བྱ་ཞིང་བྲན་གྱི་དངོས་མི་བྱ། །	स्वयं मम स्वामिन एव तावद् यदर्थमात्मन्यपि निर्व्यपेक्षाः। अहं कथं स्वामिषु तेषु तेषु करोमि मानं न तु दासभावम्॥ १२१॥
422	གང་དག་བདེ་བས་ཐུབ་རྣམས་དགྱེས་འགྱུར་ཞིང་། །གང་ལ་གནོད་ན་མི་དགྱེས་འབྱུང་འགྱུར་བ། །དེ་དག་དགའ་བས་ཐུབ་པ་ཀུན་དགྱེས་ཤིང་། །དེ་ལ་གནོད་བྱས་ཐུབ་ལ་གནོད་པ་བྱས། །	येषां सुखे यान्ति मुदं मुनीन्द्राः येषां व्यथायां प्रविशन्ति मन्युम्। तत्तोषणात्सर्वमुनीन्द्रतुष्टि - स्तत्रापकारेऽपकृतं मुनीनाम्॥ १२२॥
423	ཇི་ལྟར་ལུས་ལ་ཀུན་ནས་མེ་འབར་བ། །འདོད་པ་ཀུན་གྱིས་ཡིད་བདེར་མི་འགྱུར་བ། །དེ་བཞིན་སེམས་ཅན་གནོད་པ་བྱས་ན་ཡང་། །ཐུགས་རྗེ་ཆེ་རྣམས་དགྱེས་པའི་ཐབས་མེད་དོ། །	आदीप्तकायस्य यथा समन्ता-न्न सर्वकामैरपि सौमनस्यम्। सत्त्वव्यथायामपि तद्वदेव न प्रीत्युपायोऽस्ति दयामयानाम्॥ १२३॥
424	དེ་བས་བདག་གིས་འགྲོ་ལ་གནོད་བྱས་པས། །ཐུགས་རྗེ་ཆེ་ཀུན་མི་དགྱེས་གྱུར་པ་གང་། །སྡིག་དེ་དེ་རིང་སོ་སོར་བཤགས་བགྱི་ཡིས། །མི་དགྱེས་གང་ལགས་དེ་ཐུབ་བཟོད་པར་གསོལ། །	तस्मान्मया यज्जनदुःखदेन दुःखं कृतं सर्वमहाकृपाणाम्। तदद्य पापं प्रतिदेशयामि यत्खेदितास्तन्मुनयः क्षमन्ताम्॥ १२४॥
425	དེ་བཞིན་གཤེགས་རྣམས་དགྱེས་པར་བགྱི་སླད་དུ། །དེང་ནས་བཟུང་ནས་འཇིག་རྟེན་བྲན་དུ་མཆི། །འགྲོ་མང་རྡོག་པས་བདག་གི་སྤྱིར་འཚོག་གམ། །འགུམས་ཀྱང་མི་བསྡོ་འཇིག་རྟེན་མགོན་དགྱེས་མཛོད། །	आराधनायाद्य तथागतानां सर्वात्मना दास्यमुपैमि लोके। कुर्वन्तु मे मूर्घ्नि पदं जनौघा विघ्नन्तु वा तुष्यतु लोकनाथः॥ १२५॥
426	འགྲོ་བ་འདི་ཀུན་ཐུགས་རྗེའི་བདག་ཅན་དེས། །བདག་ཏུ་མཛད་པ་འདི་ལ་ཐེ་ཚོམ་མེད། །སེམས་ཅན་ངོ་བོར་མཐོང་བ་འདི་དག་ཉིད། །མགོན་དེ་བདག་ཉིད་ཅི་ཕྱིར་གུས་མི་བྱེད། །	आत्मीकृतं सर्वमिदं जगत्तैः। कृपात्मभिर्नैव हि संशयोऽस्ति। दृश्यन्त एते ननु सत्त्वरूपा- स्त एव नाथाः किमनादरोऽत्र॥ १२६॥
427	འདི་ཉིད་དེ་བཞིན་གཤེགས་པ་མཉེས་བྱེད་ཡིན། །རང་དོན་ཡང་དག་སྒྲུབ་པའང་འདི་ཉིད་དོ། །འཇིག་རྟེན་སྡུག་བསྔལ་སེལ་བའང་འདི་ཉིད་དེ། །དེ་ལྟས་བདག་གིས་རྟག་ཏུ་དེ་ཉིད་བྱ། །	तथागताराधनमेतदेव स्वार्थस्य संसाधनमेतदेव। लोकस्य दुःखापहमेतदेव तस्मान्ममास्तु व्रतमेतदेव॥ १२७॥
428	དཔེར་ན་རྒྱལ་པོའི་མི་འགའ་ཞིག །སྐྱེ་བོ་མང་ལ་གནོད་བྱེད་ཀྱང་། །སྐྱེ་བོ་མིག་རྒྱང་རིང་པོ་དག །ནུས་ཀྱང་ཕྱིར་གནོད་མི་བྱེད་དེ། །	यथैको राजपुरुषः प्रमन्थाति महाजनम्। विकर्तुं नैव शक्नोति दीर्घदर्शी महाजनः॥ १२८॥
429	འདི་ལྟར་དེ་གཅིག་མ་ཡིན་གྱི། །རྒྱལ་པོའི་མཐུ་སྟོབས་དེ་ཡི་མཐུ། །དེ་བཞིན་གནོད་བྱེད་ཉམ་ཆུང་བ། །འགའ་ཡང་ཁྱད་དུ་གསད་མི་བྱ། །	यस्मान्नैव स एकाकी तस्य राजबलं बलम्। तथा न दुर्बलं कंचिदपराद्धं विमानयेत्॥ १२९॥
430	འདི་ལྟར་དམྱལ་བའི་སྲུང་མ་དང་། །ཐུགས་རྗེ་ལྡན་རྣམས་དེ་ཡི་དཔུང་། །དེ་ལྟར་དམངས་ཀྱིས་རྒྱལ་གཏུམ་བཞིན། །སེམས་ཅན་རྣམས་ནི་མགུ་བར་བྱ། །	यस्मान्नरकपालाश्च कृपावन्तश्च तद्बलम्। तस्मादाराधयेत्सत्त्वान् भृत्यश्चण्डनृपं यथा॥ १३०॥
431	རྒྱལ་པོ་ལྟ་ཞིག་ཁྲོས་ན་ཡང་། །སེམས་ཅན་མི་མགུ་བྱས་པ་ཡིས། །མྱོང་བར་འགྱུར་བ་གང་ཡིན་པ། །དམྱལ་བའི་གནོད་པ་དེས་བྱེད་དམ། །	कुपितः किं नृपः कुर्याद्येन स्यान्नरकव्यथा। यत्सत्त्वदौर्मनस्येन कृतेन ह्यनुभूयते॥ १३१॥
432	རྒྱལ་པོ་ལྟ་ཞིག་མགུ་ན་ཡང་། །སེམས་ཅན་མགུ་བར་བྱས་པ་ཡིས། །འཐོབ་པར་འགྱུར་བ་གང་ཡིན་པ། །སངས་རྒྱས་ཉིད་སྦྱིན་མི་སྲིད་དོ། །	तुष्टः किं नृपतिर्दद्याद्यद्बुद्धत्वसमं भवेत्। यत्सत्त्वसौमनस्येन कृतेन ह्यनुभूयते॥ १३२॥
433	སེམས་ཅན་མགུ་ལས་བྱུང་བ་ཡི། །མ་འོངས་སངས་རྒྱས་འགྲུབ་ལྟ་ཞོག །ཚེ་འདི་ཉིད་ལ་དཔལ་ཆེན་དང་། །གྲགས་དང་སྐྱིད་འགྱུར་ཅིས་མ་མཐོང་། །	आस्तां भविष्यद्बुद्धत्वं सत्त्वाराधनसंभवम्। इहैव सौभाग्ययशःसौस्थित्यं किं न पश्यसि॥ १३३॥
434	འཁོར་ཚེ་བཟོད་པས་མཛེས་སོགས་དང་། །ནད་མེད་པ་དང་གྲགས་པ་ཡིས། །ཤིན་ཏུ་ཡུན་རིང་འཚོ་བ་དང་། །འཁོར་ལོས་སྒྱུར་བའི་བདེ་རྒྱས་ཐོབ། །	प्रासादिकत्वमारोग्यं प्रामोद्यं चिरजीवितम्। चक्रवर्तिसुखं स्फीतं क्षमी प्राप्नोति संसरन्॥ १३४॥
435	བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ་ལས། བཟོད་པ་བསྟན་པ་ཞེས་བྱ་བ་སྟེ་ལེའུ་དྲུག་པའོ།། །།	इति क्षान्तिपारमिता नाम षष्ठः परिच्छेदः॥
436	དེ་ལྟར་བཟོད་པས་བརྩོན་འགྲུས་བརྩམ། །འདི་ལྟར་བརྩོན་ལ་བྱང་ཆུབ་གནས། །རླུང་མེད་གཡོ་བ་མེད་པ་བཞིན། །བསོད་ནམས་བརྩོན་འགྲུས་མེད་མི་འབྱུང་། །	एवं क्षमो भजेद्वीर्यं वीर्ये बोधिर्यतः स्थिता। न हि वीर्यं विना पुण्यं यथा वायुं विनागतिः॥१॥
437	བརྩོན་གང་དགེ་ལ་སྤྲོ་བའོ། །དེ་ཡི་མི་མཐུན་ཕྱོགས་བཤད་བྱ། །ལེ་ལོ་ངན་ལ་ཞེན་པ་དང་། །སྒྱིད་ལུག་བདག་ཉིད་བརྙས་པའོ། །	किं वीर्यं कुशलोत्साहस्तद्विपक्षः क उच्यते। आलस्यं कुत्सितासक्तिर्विषादात्मावमन्यना॥२॥
438	སྙོམ་ལས་བདེ་བའི་རོ་མྱང་དང་། །གཉིད་ལ་བརྟེན་པའི་སྲེད་པ་ཡིས། །འཁོར་བའི་སྡུག་བསྔལ་མི་སྐྱོ་ལས། །ལེ་ལོ་ཉེ་བར་སྐྱེ་བར་འགྱུར། །	अव्यापारसुखास्वादनिद्रापाश्रयतृष्णया। संसारदुःखानुद्वेगादालस्यमुपजायते॥३॥
439	ཉོན་མོངས་རྒྱ་པས་བཤོར་ནས་ནི། །སྐྱེ་བའི་རྒྱར་ནི་ཆུད་གྱུར་ནས། །འཆི་བདག་ཁར་ནི་སོང་གྱུར་པ། །ཅི་སྟེ་ད་དུང་མི་ཤེས་སམ། །	क्लेशवागुरिकाघ्रातः प्रविष्टो जन्मवागुराम्। किमद्यापि न जानासि मृत्योर्वदनमागतः॥४॥
440	རང་སྡེ་རིམ་གྱིས་གསོད་པ་ཡང་། །ཁྱོད་ཀྱིས་མཐོང་བར་མ་གྱུར་ཏམ། །འོན་ཀྱང་གཉིད་ལ་བརྟེན་པ་གང་། །གདོལ་པ་དང་ནི་མ་ཧེ་བཞིན། །	स्वयूथ्यान्मार्यमाणांस्त्वं क्रमेणैव न पश्यसि। तथापि निद्रां यास्येव चण्डालमहिषो यथा॥५॥
441	ལམ་ནི་ཀུན་ནས་བཀག་ནས་སུ། །འཆི་བདག་གིས་ནི་བལྟས་བཞིན་དུ། །ཇི་ལྟར་ཁྱོད་ནི་ཟ་དགའ་ཞིང་། །འདི་ལྟར་གཉིད་ལོག་ཇི་ལྟར་དགའ། །	यमेनोद्वीक्ष्यमाणस्य बद्धमार्गस्य सर्वतः। कथं ते रोचते भोक्तुं कथं निद्रा कथं रतिः॥६॥
442	མྱུར་བ་ཉིད་དུ་འཆི་འགྱུར་བས། །ཇི་སྲིད་དུ་ནི་ཚོགས་བསག་བྱ། །དེ་ཚེ་ལེ་ལོ་སྤངས་ཀྱང་ནི། །དུས་མ་ཡིན་པར་ཅི་ཞིག་བྱ། །	यावत्संभृतसंभारं मरणं शीघ्रमेष्यति। संत्यज्यापि तदालस्यमकाले किं करिष्यसि॥७॥
443	འདི་ནི་མ་བྱས་བརྩམས་པ་དང་། །འདི་ཕྱེད་བྱས་པར་གནས་པ་ལ། །གློ་བུར་འཆི་བདག་འོངས་ནས་ནི། །ཀྱི་ཧུད་བཅོམ་ཞེས་སེམས་པར་འགྱུར། །	इदं न प्राप्तमारब्धमिदमर्धकृतं स्थितम्। अकस्मान्मृत्युरायातो हा हतोऽस्मीति चिन्तयन्॥८॥
444	མྱ་ངན་ཤུགས་ཀྱིས་སྐྲངས་པ་ཡི། །མིག་དམར་གདོང་ལ་མཆི་མ་འཛག །ཉེ་དུ་རེ་ཐག་ཆད་པ་དང་། །གཤིན་རྗེའི་ཕོ་ཉའི་བཞིན་ལ་བལྟ། །	शोकवेगसमुच्छूनसाश्रुरक्तेक्षणाननान्। बन्धून्निराशान् संपश्यन् यमदूतमुखानि च॥९॥
445	རང་སྡིག་དྲན་པས་གདུང་བ་དང་། །དམྱལ་བའི་སྒྲ་ནི་ཐོས་པ་ཡིས། །སྐྲག་པས་མི་གཙང་ལུས་གོས་ཤིང་། །མྱོས་པར་འགྱུར་ཚེ་ཅི་ཞིག་བྱ། །	स्वपापस्मृतिसंतप्तः शृण्वन्नादांश्च नारकान्। त्रासोच्चारविलिप्ताङ्गो विह्वलः किं करिष्यसि॥१०॥
446	ཁྱོད་ནི་ཉ་གསོན་འགྲེ་བ་ལྟའི། །ཚེ་འདིར་འཇིགས་དང་ལྡན་གྱུར་ན། །སྡིག་བྱས་དམྱལ་བ་མི་བཟད་པའི། །སྡུག་བསྔལ་རྣམས་ནི་སྨོས་ཅི་དགོས། །	जीवमत्स्य इवास्मीति युक्तं भयमिहैव ते। किं पुनः कृतपापस्य तीव्रान्नरकदुःखतः॥११॥
447	ཆུ་ཚན་གྱིས་ནི་རེག་པ་ན། །གཞོན་ཤ་ཅན་ལ་རབ་ཚ་བའི། །དམྱལ་བ་ཡི་ནི་ལས་བྱས་ནས། །ཅི་ཕྱིར་འདི་ལྟར་བདེ་བར་གནས། །	स्पृष्ट उष्णोदकेनापि सुकुमार प्रतप्यसे। कृत्वा च नारकं कर्म किमेवं स्वस्थमास्यते॥१२॥
448	བརྩོན་མེད་འབྲས་བུ་འདོད་པ་དང་། །བཟེ་རེ་ཅན་ལ་གནོད་མང་ཞིང་། །འཆི་བས་བཟུང་བཞིན་ལྷ་འདྲ་བ། །ཀྱི་ཧུད་སྡུག་བསྔལ་དག་གིས་བཅོམ། །	निरुद्यम फलाकाङ्क्षिन् सुकुमार बहुव्यथ। मृत्युग्रस्तोऽमराकार हा दुःखित विहन्यसे॥१३॥
449	མི་ཡི་གྲུ་ལ་བརྟེན་ནས་སུ། །སྡུག་བསྔལ་ཆུ་བོ་ཆེ་ལས་སྒྲོལ། །གྲུ་འདི་ཕྱི་ནས་རྙེད་དཀའ་བས། །རྨོངས་པ་དུས་སུ་གཉིད་མ་ལོག །	मानुष्यं नावमासाद्य तर दुःखमहानदीम्। मूढ कालो न निद्राया इयं नौर्दुर्लभा पुनः॥१४॥
450	དགའ་བའི་རྒྱུ་ནི་མཐའ་ཡས་པའི། །དམ་ཆོས་དགའ་བའི་མཆོག་སྤངས་ནས། །སྡུག་བསྔལ་རྒྱུ་ཡིས་གཡེང་བ་དང་། །རྒོད་སོགས་ལ་ཁྱོད་ཅི་ཕྱིར་དགའ། །	मुक्त्वा धर्मरतिं श्रेष्ठामनन्तरतिसंततिम्। रतिरौद्धत्यहास्यादौ दुःखहेतौ कथं तव॥१५॥
451	སྒྱིད་ལུག་མེད་དང་དཔུང་ཚོགས་དང་། །ལྷུར་བླང་བདག་ཉིད་དབང་བྱ་དང་། །བདག་དང་གཞན་དུ་མཉམ་པ་དང་། །བདག་དང་གཞན་དུ་བརྗེ་བར་གྱིས། །	अविषादबलव्यूहतात्पर्यात्मविधेयता। परात्मसमता चैव परात्मपरिवर्तनम्॥१६॥
452	བདག་གིས་བྱང་ཆུབ་ག་ལ་ཞེས། །སྒྱིད་ལུག་པར་ནི་མི་བྱ་སྟེ། །འདི་ལྟར་དེ་བཞིན་གཤེགས་པ་ནི། །བདེན་པ་གསུང་བས་བདེན་འདི་གསུངས། །	नैवावसादः कर्तव्यः कुतो मे बोधिरित्यतः। यस्मात्तथागतः सत्यं सत्यवादीदमुक्तवान्॥१७॥
453	སྦྲང་བུ་ཤ་སྦྲང་བུང་བ་དང་། །དེ་བཞིན་སྲིན་བུར་གང་གྱུར་པ། །དེས་ཀྱང་བརྩོན་པའི་སྟོབས་བསྐྱེད་ན། །བྱང་ཆུབ་ཐོབ་དཀའ་བླ་མེད་འཐོབ། །	तेऽप्यासन् दंशमशका मक्षिकाः कृमयस्तथा। यैरुत्साहवशात् प्राप्ता दुरापा बोधिरुत्तमा॥१८॥
454	བདག་ལྟ་རིགས་ཀྱིས་མིར་སྐྱེས་ལ། །ཕན་དང་གནོད་པའི་ངོ་ཤེས་པས། །བྱང་ཆུབ་སྤྱོད་པ་མ་བཏང་ན། །བདག་གིས་བྱང་ཆུབ་ཅིས་མི་འཐོབ། །	किमुताहं नरो जात्या शक्तो ज्ञातुं हिताहितम्। सर्वज्ञनीत्यनुत्सर्गाद्बोधिं किं नाप्नुयामहम्॥१९॥
455	འོན་ཏེ་རྐང་ལག་ལ་སོགས་པ། །བཏང་དགོས་བདག་ནི་འཇིགས་ཤེ་ན། །ལྕི་དང་ཡང་བ་མ་དཔྱད་པར། །རྨོངས་པས་བདག་ནི་འཇིགས་པར་ཟད། །	अथापि हस्तपादादि दातव्यमिति मे भयम्। गुरुलाघवमूढत्वं तन्मे स्यादविचारतः॥२०॥
456	བསྐལ་པ་བྱེ་བ་གྲངས་མེད་དུ། །ལན་གྲངས་དུ་མར་བཅད་པ་དང་། །དབུག་དང་བསྲེག་དང་གཤེགས་འགྱུར་གྱི། །བྱང་ཆུབ་ཐོབ་པར་མི་འགྱུར་རོ། །	छेत्तव्यश्चास्मि भेत्तव्यो दाह्यः पाट्योऽप्यनेकशः। कल्पकोटीरसंख्येया न च बोधिर्भविष्यति॥२१॥
457	བདག་གིས་བྱང་ཆུབ་སྒྲུབ་པ་ཡི། །སྡུག་བསྔལ་འདི་ནི་ཚོད་ཡོད་དེ། །ཟུག་རྔུ་ཁོང་བརླག་གནོད་བསལ་ཕྱིར། །ལུས་རྨ་བཏོད་པའི་སྡུག་བསྔལ་བཞིན། །	इदं तु मे परिमितं दुःखं संबोधिसाधनम्। नष्टशल्यव्यथापोहे तदुत्पादनदुःखवत्॥२२॥
458	སྨན་པ་ཀུན་ཀྱང་གསོ་དཔྱད་ཀྱིས། །མི་བདེ་བ་ཡི་ནད་མེད་བྱེད། །དེ་བས་སྡུག་བསྔལ་མང་པོ་དག །གཞོམ་ཕྱིར་མི་བདེ་ཆུང་བཟོད་བྱ། །	सर्वेऽपि वैद्याः कुर्वन्ति क्रियादुःखैररोगताम्। तस्माद्बहूनि दुःखानि हन्तुं सोढव्यमल्पकम्॥२३॥
459	གསོ་དཔྱད་ཕལ་པ་འདི་འདྲ་བ། །སྨན་པ་མཆོག་གིས་མ་མཛད་དེ། །ཆོ་ག་ཤིན་ཏུ་འཇམ་པོ་ཡིས། །ནད་ཆེན་དཔག་མེད་གསོ་བར་མཛད། །	क्रियामिमामप्युचितां वरवैद्यो न दत्तवान्। मधुरेणोपचारेण चिकित्सति महातुरान्॥२४॥
460	ཚོད་མ་ལ་སོགས་སྦྱིན་པ་ལའང་། །འདྲེན་པས་ཐོག་མར་སྦྱོར་བར་མཛད། །དེ་ལ་གོམས་ནས་ཕྱི་ནས་ནི། །རིམ་གྱིས་རང་གི་ཤ་ཡང་གཏོང་། །	आदौ शाकादिदानेऽपि नियोजयति नायकः। तत्करोति क्रमात्पश्चाद्यत्स्वमांसान्यपि त्यजेत्॥२५॥
461	གང་ཚེ་རང་གི་ལུས་ལ་ནི། །ཚོད་སོགས་ལྟ་བུའི་བློ་སྐྱེས་པ། །དེ་ཚེ་ཤ་ལ་སོགས་གཏོང་བ། །དེ་ལ་དཀའ་བ་ཅི་ཞིག་ཡོད། །	यदा शाकेष्विव प्रज्ञा स्वमांसेऽप्युपजायते। मांसास्थि त्यजतस्तस्य तदा किं नाम दुष्करम्॥२६॥
462	སྡིག་པ་སྤང་ཕྱིར་སྡུག་བསྔལ་མེད། །མཁས་པའི་ཕྱིར་ན་མི་དགའ་མེད། །འདི་ལྟར་ལོག་པར་རྟོག་པ་དང་། །སྡིག་པས་སེམས་དང་ལུས་ལ་གནོད། །	न दुःखी त्यक्तपापत्वात्पण्डितत्वान्न दुर्मनाः। मिथ्याकल्पनया चित्ते पापात्काये यतो व्यथा॥२७॥
463	བསོད་ནམས་ཀྱིས་ནི་ལུས་བདེ་ལ། །མཁས་པ་ཡིས་ནི་སེམས་བདེ་ན། །གཞན་དོན་འཁོར་བར་གནས་ཀྱང་ནི། །སྙིང་རྗེ་ཅན་དག་ཅི་སྟེ་སྐྱོ། །	पुण्येन कायः सुखितः पाण्डित्येन मनः सुखि। तिष्ठन् परार्थं संसारे कृपालुः केन खिद्यते॥२८॥
464	འདི་ནི་བྱང་ཆུབ་སེམས་སྟོབས་ཀྱིས། །སྔོན་གྱི་སྡིག་པ་ཟད་བྱེད་ཅིང་། །བསོད་ནམས་རྒྱ་མཚོ་སྡུད་བྱེད་ཕྱིར། །ཉན་ཐོས་རྣམས་པས་མཆོག་ཏུ་བཤད། །	क्षपयन् पूर्वपापानि प्रतीच्छन् पुण्यसागरान्। बोधिचित्तबलादेव श्रावकेभ्योऽपि शीघ्रगः॥२९॥
465	དེ་བས་སྐྱོ་ངལ་ཀུན་སེལ་བའི། །བྱང་ཆུབ་སེམས་ཀྱི་རྟ་ཞོན་ནས། །བདེ་ནས་བདེ་བར་འགྲོ་བ་ལ། །སེམས་ཤེས་སུ་ཞིག་སྒྱིད་ལུག་འགྱུར། །	एवं सुखात्सुखं गच्छन् को विषीदेत्सचेतनः। बोधिचित्तरथं प्राप्य सर्वखेदश्रमापहम्॥३०॥
466	སེམས་ཅན་དོན་གྲུབ་བྱ་ཕྱིར་དཔུང་། །མོས་བརྟན་དགའ་དང་དོར་བ་ཡིན། །མོས་པ་སྡུག་བསྔལ་འཇིགས་པ་དང་། །དེ་ཡི་ཕན་ཡོན་བསམ་པས་བསྐྱེད། །	छन्दस्थामरतिमुक्तिबलं सत्त्वार्थसिद्धये। छन्दं दुःखभयात्कुर्यादनुशंसांश्च भावयन्॥३१॥
467	དེ་ལྟར་མི་མཐུན་ཕྱོགས་སྤངས་ཏེ། །མོས་དང་ང་རྒྱལ་དགའ་དང་དོར། །ལྷུར་ལེན་དབང་བསྒྱུར་སྟོབས་ཀྱིས་ནི། །བརྩོན་འགྲུས་སྤེལ་ཕྱིར་འབད་པར་བྱ། །	एवं विपक्षमुन्मूल्य यतेतोत्साहवृद्धये। छन्दमानरतित्यागतात्पर्यवशिताबलैः॥३२॥
468	བདག་དང་གཞན་གྱི་ཉེས་པ་ནི། །དཔག་མེད་བདག་གིས་གཞོམ་བྱ་སྟེ། །གང་དུ་ཉེས་པ་རེ་རེ་ལའང་། །བསྐལ་པ་རྒྱ་མཚོ་ཟད་འགྱུར་བ། །	अप्रमेया मया दोषा हन्तव्याः स्वपरात्मनोः। एकैकस्यापि दोषस्य यत्र कल्पार्णवैः क्षयः॥३३॥
469	ཉེས་ཟད་རྩོམ་པ་དེ་ཡི་ནི། །ཆ་ཡང་བདག་ལ་མ་མཐོང་ན། །སྡུག་བསྔལ་དཔག་ཏུ་མེད་པའི་གནས། །བདག་གོ་ཅི་ཕྱིར་སྙིང་མ་གས། །	तत्र दोषक्षयारम्भे लेशोऽपि मम नेक्ष्यते। अप्रमेयव्यथाभाज्ये नोरः स्फुटति मे कथम्॥३४॥
470	བདག་དང་གཞན་གྱི་ཡོན་ཏན་ནི། །མང་པོ་བདག་གིས་བསྒྲུབ་བྱ་སྟེ། །དེ་ལ་ཡོན་ཏན་རེ་རེ་ཡང་། །བསྐལ་པ་རྒྱ་མཚོས་གོམས་འགྱུར་ན། །	गुणा मयार्जनीयाश्च बहवः स्वपरात्मनोः। तत्रैकैकगुणाभ्यासो भवेत्कल्पार्णवैर्न वा॥३५॥
471	བདག་ནི་ཡོན་ཏན་ཆ་ལ་ཡང་། །གོམས་པ་ནམ་ཡང་མ་སྐྱེས་ཏེ། །ཇི་ཞིག་ལྟར་རྙེད་སྐྱེ་བ་ནི། །བདག་གིས་དོན་མེད་བྱས་པ་མཚར། །	गुणलेशेऽपि नाभ्यासो मम जातः कदाचन। वृथा नीतं मया जन्म कथंचिल्लब्धमद्भुतम्॥३६॥
472	བདག་གིས་བཅོམ་ལྡན་མ་མཆོད་ཅིང་། །དགའ་སྟོན་ཆེན་པོའི་བདེ་མ་བྱིན། །བསྟན་ལ་བྱ་བ་མ་བྱས་དང་། །དབུལ་པོའི་བསམ་པ་རྫོགས་མ་བྱས། །	न प्राप्तं भगवत्पूजामहोत्सवसुखं मया। न कृता शासने कारा दरिद्राशा न पूरिता॥३७॥
