Root,Commentary
གང་ཚེ་ཚོར་པོ་འགའ་མེད་ཅིང་། །ཚོར་བའང་ཡོད་པ་མ་ཡིན་པ། །དེ་ཚེ་གནས་སྐབས་འདི་མཐོང་ནས། །སྲེད་པ་ཅི་ཕྱིར་ལྡོག་མི་འགྱུར། །, ཚོར་བ་བདག་ཉིད་ཀྱིས་བདག་ཉིད་རིག་པ་ཡང་མ་ཡིན་ཏེ། རང་རིག་པ་ཉིད་ནི་སྔར་བསལ་བའི་ཕྱིར་རོ། །གཞན་གྱིས་རིག་པ་ཡང་མ་ཡིན་ཏེ། དེ་ཡང་སྔར་བསལ་བའི་ཕྱིར་རོ། །
མཐོང་བ་འམ་ནི་རེག་པ་ཡང་། །རྨི་ལམ་སྒྱུ་འདྲའི་བདག་ཉིད་ཀྱིས། །སེམས་དང་ལྷན་ཅིག་སྐྱེས་པའི་ཕྱིར། །ཚོར་བ་དེ་ཡིས་མཐོང་མ་ཡིན། །, ནི་ཞེས་པ་ནི་གང་གི་ཕྱིར་གྱི་དོན་ཏེ། གང་གི་ཕྱིར་དེ་ལྟར་ཚོར་བ་པོ་འགའ་ཡང་ཡོད་པ་མ་ཡིན་ཏེ། དེའི་ཕྱིར་གཞན་དུ་མངོན་པར་ཞེན་པ་ལས་མ་གཏོགས་པའི་ཚོར་བ་ཡང་དག་པ་ཉིད་དུ་ཡོད་པ་མ་ཡིན་ནོ། །
སྔར་དང་ཕྱི་མར་སྐྱེས་པས་ཀྱང་། །དྲན་པར་འགྱུར་གྱི་མྱོང་མ་ཡིན། །རང་གིས་བདག་ཉིད་མྱོང་མིན་ལ། །གཞན་དག་གིས་ཀྱང་མྱོང་མ་ཡིན། །,
ཚོར་པོ་འགའ་ཡང་ཡོད་མིན་ཏེ། །དེས་ན་ཚོར་བ་དེ་ཉིད་མིན། །དེ་ལྟར་བདག་མེད་ཚོགས་འདི་ལ། །འདི་ཡིས་ཅི་སྟེ་གནོད་པར་བྱ། །,འདི་ཡིས་ཞེས་པ་ནི་ཚོར་བས་སོ། །དེ་དག་གིས་ནི་ཚོར་བ་དྲན་པ་ཉེ་བར་གཞག་པ་ཞེས་བྱ་བ་བསྟན་པ་ཡིན་ནོ། །ཆོས་ཡང་དག་པར་སྡུད་པ་ལས་ཀྱང་། ཚོར་བ་ཉམས་མྱོང་ཞེས་བརྗོད་པ། །ཚོར་བྱ་ཚོར་བྱེད་ཚོར་བ་རྣམས། །སོ་སོར་གྱུར་པ་མ་མཐོང་ན། །གང་གིས་ན་ཉིད་ཉམས་སུ་མྱོང་། །དེ་ལྟར་ཚོར་བ་རྣམས་ལ་ནི། །མཁས་པས་དྲན་པ་ཉེ་བར་གཞག། །ཅེས་འབྱུང་ངོ་། །
ཡིད་ནི་དབང་རྣམས་ལ་མི་གནས། །གཟུགས་སོགས་ལ་མིན་བར་ནའང་མིན། །ནང་ཡང་སེམས་མིན་ཕྱི་མིན་ཞིང་། །གཞན་དུ་ཡང་ནི་རྙེད་མ་ཡིན། །, སེམས་དྲན་པ་ཉེ་བར་གཞག་པ་བསྟན་པའི་ཕྱིར། ཡིད་ནི་ཞེས་བྱ་བ་ལ་སོགས་པ་སྨོས་ཏེ། དབང་པོ་ནི་ཤེས་པ་སྐྱེ་བ་ལ་བདག་པོའི་ཚུལ་གྱིས་དབང་བྱེད་པའི་དོན་གྱིས་ན་དབང་པོའོ། །གཟུགས་སོགས་ཞེས་བྱ་བ་ནི་ལུས་ལས་ཐ་དད་པའི་གཟུགས་རྣམས་སོ། །བར་ན་ཞེས་པ་ནི་དབང་པོ་དང་ཡུལ་གྱི་བར་ནའོ། །ནང་ནི་ལུས་ཀྱི་ནང་ནའོ། །ཕྱི་ན་སྟེ་ལུས་ཀྱི་ཕྱི་ནའོ། །གཞན་ན་སྟེ་བརྗོད་པ་རྣམས་ལས་གཞན་ནའོ། །སེམས་དང་ཡིད་ནི་དོན་གཅིག་པའོ། །
གང་ཞིག་ལུས་མིན་གཞན་དུ་མིན། །འདྲེས་མིན་ལོགས་སུའང་འགར་མེད་པ། །དེ་ནི་ཅུང་ཟད་མིན་དེའི་ཕྱིར། །སེམས་ཅན་རང་བཞིན་མྱ་ངན་འདས། །, ལུས་དང་ལྷན་ཅིག་ཏུ་འདྲེས་པ་མ་ཡིན་ཞིང་རྟེན་ཐ་དད་པ་མ་ཡིན་ཏེ། དངོས་པོ་ཅུང་ཟད་ཀྱང་ཡོད་པ་མ་ཡིན་ནོ། །ཀུན་རྫོབ་ཏུ་སྒྱུ་མ་ལྟ་བུའི་རང་བཞིན་གྱི་སེམས་ནི་ཡོད་དོ་ཞེས་དགོངས་པའོ། །
ཤེས་བྱ་ལས་སྔར་ཤེས་ཡོད་ན། །དེ་ནི་ཅི་ལ་དམིགས་ནས་སྐྱེ། །ཤེས་དང་ཤེས་བྱ་ལྷན་ཅིག་ན། །དེ་ནི་ཅི་ལ་དམིགས་ནས་སྐྱེ། །, དེ་ཉིད་ཀྱི་འཐད་པ་ཡང་སྟབས་གཅིག་ཆོས་དྲན་པ་ཉེ་བར་གཞག་པ་བསྟན་པར་བཞེད་ནས། ཤེས་བྱ་ལས་ཞེས་བྱ་བ་ལ་སོགས་པ་སྨོས་ཏེ།
འོན་ཏེ་ཤེས་བྱའི་ཕྱིས་ཡོད་ན། །དེ་ཚེ་ཤེས་པ་གང་ལས་སྐྱེ། །དེ་ལྟར་ཆོས་རྣམས་ཐམས་ཅད་ཀྱི། །སྐྱེ་བ་རྟོགས་པར་འགྱུར་མ་ཡིན། །,
གལ་ཏེ་དེ་ལྟར་ཀུན་རྫོབ་མེད། །དེ་ལ་བདེན་གཉིས་ག་ལ་ཡོད། །དེ་ཡང་ཀུན་རྫོབ་གཞན་གྱིས་ན། །སེམས་ཅན་མྱ་ངན་ག་ལ་འདའ། །, དེ་ལྟར་ཞེས་བྱ་བ་ནི་བརྗོད་པའི་རིམ་པའོ། །གཞན་གྱིས་བདེན་པ་གཉིས་མི་འཐད་པར་བརྩད་པར་འདོད་ནས་གལ་ཏེ་ཞེས་སྨོས་ཏེ། ཆོས་ཐམས་ཅད་རང་བཞིན་གྱིས་སྐྱེ་བ་མེད་པ་ཉིད་ཀྱིས་དོན་དམ་པའི་བདེན་པ་གཅིག་པུ་ཁོ་ནར་འགྱུར་གྱི། བདེན་པ་གཉིས་སུ་མི་འགྱུར་རོ། །ཡང་ན་དོན་དམ་པའི་རང་བཞིན་ཐོབ་པ་ཡང་ཡོད་ལ་ཀུན་རྫོབ་ཀྱང་ཡོད་པ་ཡིན་ཏེ། དེ་ཡང་གཞན་ཏེ་རྒྱུད་གཞན་གྱི་བློས་རྣམ་པར་འཇོག་པར་བྱེད་དོ། །དེས་ན་དོན་དམ་པའི་བདེན་པ་འབའ་ཞིག་ནི་མ་ཡིན་གྱི། ཀུན་རྫོབ་གྲུབ་པའི་ཕྱིར་གཉི་ག་ཡང་གྲུབ་པ་ཡིན་པས་བདེན་པ་གཉིས་སུ་རྗོད་པར་བྱེད་པ་དེ་ལྟ་ན་ནི་དོན་དམ་པ་ཡང་བློའི་སྤྱོད་ཡུལ་དུ་འགྱུར་ལ། བློ་ནི་ཀུན་རྫོབ་ཡིན་པས་ན་དེའི་ཚེ་མྱ་ངན་ལས་འདས་པ་ཡང་ཀུན་རྫོབ་ཏུ་འགྱུར་བའི་ཕྱིར་དེ་ཐོབ་ནས་སེམས་ཅན་མྱ་ངན་ལས་ག་ལ་འདའ་སྟེ། གང་གིས་ནི་གྲོལ་བ་ཉིད་དུ་འགྱུར་སྙམ་དུ་སེམས་པ་ལ། སྒྲུབ་པ་པོས་ལན་བརྗོད་པ་འདི་ནི་ཞེས་སྨོས་ཏེ།
འདི་ནི་གཞན་སེམས་རྣམ་རྟོག་སྟེ། །དེ་ནི་རང་གི་ཀུན་རྫོབ་མིན། །ཕྱིས་དེ་ངེས་ན་དེ་ཡོད་དེ། །མིན་ན་ཀུན་རྫོབ་མེད་པ་ཉིད། །, གང་གི་ཚེ་གཞན་གྱིས་མྱ་ངན་ལས་འདས་པའོ་ཞེས་མྱ་ངན་ལས་འདས་པ་རྟོག་པར་བྱེད་པ་དེའི་ཚེ་གཞན་གྱི་སེམས་ཉིད་རྟོག་པ་དང་བཅས་པ་ཡིན་པས་ན་དེས་མྱ་ངན་ལས་འདས་པ་ཡུལ་དུ་བྱེད་པར་མི་འགྱུར་རོ། །རང་གི་ཀུན་རྫོབ་སྟེ་རང་གི་རྣམ་པར་རྟོག་པ་ལ་མྱ་ངན་ལས་འདས་པ་དེ་ཡོད་མིན་ཏེ། སེམས་དང་སེམས་ལས་བྱུང་བ་ཐམས་ཅད་འགགས་པའི་ཕྱིར་རོ། །དེས་ན་མྱ་ངན་ལས་འདས་པ་ཇི་ལྟར་འགྱུར། གལ་ཏེ་རང་ལ་ཀུན་རྫོབ་དེ་ཡོད་པ་མ་ཡིན་པ་དེ་ལྟ་ན་ནི་གཞན་གྱི་ཀུན་རྫོབ་ཀྱང་ཀུན་རྫོབ་ཉིད་དུ་ཇི་ལྟར་འགྱུར་སྙམ་པ་ལ། ཕྱིས་དེ་ཞེས་སྨོས་ཏེ། རྣམ་པར་བརྟགས་པ་མ་ཡིན་པའི་གཞན་ལས་སྐྱེས་པ་ཡིན་ནོ་ཞེས་གང་རྐྱེན་ལས་བྱུང་བའི་མཚན་ཉིད་ཀྱི་ཆོས་ཕྱིས་ངེས་པར་བྱེད་པ་ཡིན་ན་ཀུན་རྫོབ་ཡོད་ལ། གང་གི་ཚེ་དེ་ཡང་མེད་པ་ཡིན་པ། དེའི་ཚེ་ཀུན་རྫོབ་མེད་པ་ཉིད་དེ། རྒྱུ་རྐྱེན་འདི་ལས་བྱུང་ཞེས་བྱ་བ་ནམ་མཁའི་མེ་ཏོག་བཞིན་དུ་མེད་པར་གྱུར་པའི་ཕྱིར་རོ། །གལ་ཏེ་འདི་སྙམ་དུ་སྐྱེ་བ་ཡང་མེད་འགག་པ་ཡང་མེད་པའི་ཆོས་རྣམས་ལ་དོན་དམ་པར་ཤེས་པར་བྱེད་པ་ཡང་ཡོད་པ་མ་ཡིན་ལ་ཤེས་པར་བྱ་བ་ཡང་ཡོད་པ་མ་ཡིན་ཏེ། དེས་ན་ཅི་ཞིག་ཅིས་རྟོགས་པར་བྱེད་སྙམ་པ་ལ།
རྟོག་དང་བརྟག་པར་བྱ་བ་དག །གཉིས་པོ་ཕན་ཚུན་བརྟེན་པ་ཡིན། །ཇི་ལྟར་གྲགས་པ་ལ་བརྟེན་ནས། །རྣམ་པར་དཔྱད་པ་ཐམས་ཅད་བརྗོད། །, རྟོག་དང་ཞེས་སྨོས་ཏེ། རྟོག་པ་ནི་བློའོ། །བརྟག་པར་བྱ་བ་ནི་ཤེས་བྱའོ། །དེ་དག་གཉིས་པོ་ཕན་ཚུན་བརྟེན་པ་ནི་ཕན་ཚུན་ལྟོས་པའོ། །ཇི་ལྟར་གྲགས་པ་ལ་གནས་ནས་ཏེ་བཟུང་ནས་འཇིག་རྟེན་པའི་ཐ་སྙད་དུ་རྟོག་པར་བྱེད་ཀྱི། དོན་དམ་པར་ནི་རྟོག་པར་བྱེད་པ་ཡོད་པ་མ་ཡིན་ནོ། །གལ་ཏེ་རྟོག་པར་བྱེད་པ་པོ་ཡང་བརྟག་པ་ཉིད་ཡིན་པའི་ཕྱིར་དེས་ཉེ་བར་གཞག་པའི་དངོས་པོ་ཡང་མེད་པ་ཉིད་དོ་སྙམ་པ་ལ།
གང་ཚེ་རྣམ་པར་དཔྱད་པ་ཡི། །རྣམ་དཔྱོད་ཀྱིས་ནི་དཔྱོད་བྱེད་ན། །དེ་ཚེ་རྣམ་དཔྱོད་དེ་ཡང་ནི། །རྣམ་དཔྱོད་ཕྱིར་ན་ཐུག་པ་མེད། །, གང་ཚེ་ཞེས་སྨོས་ཏེ། གང་གི་ཚེ་རྣམ་པར་རྟོག་པས་གཞན་ཞིག་ལ་བརྟགས་ནས། དེ་ཡང་རྟོག་པར་བྱེད་པ་གཅིག་གིས་བརྟག་པར་བྱ་བ་ཡིན་ན་ནི་དེའི་ཚེ་ཡང་རྟོག་པར་བྱེད་པ་གཞན་ཞིག་གིས་བརྟག་པར་བྱ་བ་ཡིན་ལ། ཡང་དེ་ཡང་གཞན་ཞིག་གིས་བརྟག་པར་བྱ་བ་ཡིན་པས་ཐུག་པ་མེད་པར་འགྱུར་རོ། །དེས་ན་རྟོག་པར་བྱེད་པ་ལ་ནི་བརྟག་པར་བྱ་བ་མ་ཡིན་གྱི་འོན་ཀྱང་བརྟག་པར་བྱ་བ་ཉིད་ལའོ། །
དཔྱད་བྱ་རྣམ་པར་དཔྱད་བྱས་ན། །རྣམ་དཔྱོད་ལ་ནི་རྟེན་ཡོད་མིན། །རྟེན་མེད་ཕྱིར་ན་མི་སྐྱེ་སྟེ། །དེ་ཡང་མྱ་ངན་འདས་པར་བརྗོད། །, རྣམ་པར་བརྟག་པར་བྱ་བ་ལ་བརྟགས་པ་ནི་གཏན་ལ་དབབ་པར་བྱ་བ་གཏན་ལ་ཕེབས་པ་སྟེ། ཡང་དུས་ཕྱིས་བརྟག་པར་བྱ་བའི་གནས་ནི་ཡོད་པ་མ་ཡིན་ནོ། །གནས་མེད་པས་ན་ཡང་རྣམ་པར་རྟོག་པར་བྱེད་པ་འཇུག་པར་མི་འགྱུར་རོ། །འཇུག་པ་ལ་སོགས་པ་མེད་པ་དེ་ནི་མྱ་ངན་ལས་འདས་པར་བཤད་དེ། དེས་བྱ་བ་མེད་པར་ཞི་བའི་ཕྱིར་རོ། །དོན་དམ་པར་བདེན་པར་སྨྲ་བ་གང་དག་རྣམ་པར་རྟོག་པར་བྱེད་དེ། ཚད་མ་དང་རྣམ་པར་བརྟག་པར་བྱ་བ་སྟེ་གཞལ་བར་བྱ་བའོ་ཞེས་འདི་གཉིས་བདེན་པར་འདོད་པ་ནི་ཤིན་ཏུ་ཡང་འཁོར་བར་ལྟུང་བ་ཡིན་པའི་ཕྱིར་གནས་མེད་པ་སྟེ་ངན་པར་གནས་པ་ཉིད་དོ། །དེ་ཉིད་བརྗོད་པ།
གང་གི་ལྟར་ན་འདི་གཉིས་བདེན། །དེ་ཉིད་ཤིན་ཏུ་དཀའ་བར་གནས། །གལ་ཏེ་ཤེས་དབང་ལས་དོན་གྲུབ། །ཤེས་ཡོད་ཉིད་ལ་རྟེན་ཅི་ཡོད། །, གལ་ཏེ་ཞེས་སྨོས་ཏེ། གལ་ཏེ་ཤེས་པ་ཚད་མའི་དབང་གིས་ཏེ་སྟོབས་ཀྱིས་དོན་གཞལ་བར་བྱ་བ་རྣམ་པར་འཇོག་པར་བྱེད་པའི་ལྟ་ན། དེའི་ཚེ་ཤེས་པ་ཡོད་པ་ཉིད་དུ་གང་གིས་ངེས་པར་བྱེད་དེ། རང་གིས་རང་རིག་པ་ནི་མེད་པའི་ཕྱིར་ལ། ཚད་མ་གཞན་ཚོལ་ན་ཡང་ཐུག་པ་མེད་པར་འགྱུར་བའི་ཕྱིར་རོ། །
འོན་ཏེ་ཤེས་བྱ་ལས་ཤེས་གྲུབ། །ཤེས་བྱ་ཡོད་ལ་རྟེན་ཅི་ཡོད། །དེ་སྟེ་ཕན་ཚུན་དབང་གིས་ཡོད། །གཉི་ག་ཡང་ནི་མེད་པར་འགྱུར། །, འོན་ཏེ་ཤེས་བྱའི་དབང་གིས་ཏེ་གཞལ་བར་བྱ་བའི་སྟོབས་ཀྱིས་ཚད་མ་རྣམ་པར་འཇོག་པར་བྱེད་པ་སྟེ། དེས་ན་གང་གིས་ཐུག་པ་མེད་པར་འགྱུར་སྙམ་ན་ནི། དེའི་ཚེ་གཞལ་བྱ་ཡོད་པ་ཉིད་དུ་གང་གིས་ཁོང་དུ་ཆུད་པར་བྱ། དེ་སྟེ་ཤེས་པའི་སྟོབས་ཀྱིས་ཤེས་བྱ་ཡོད་པ་ཉིད་དུ་འཇོག་ཅིང་། ཤེས་བྱའི་སྟོབས་ཀྱིས་ཤེས་པ་ཉིད་དུ་འཇོག་གོ་ཞེ་ན་ནི་དེའི་ཚེ་གཉིས་ཀ་ཡོད་པར་མི་འགྱུར་ཏེ། ཕན་ཚུན་བརྟེན་པ་ཡིན་པའི་ཕྱིར་གཅིག་མ་གྲུབ་པས་གཉིས་པ་ཡང་མི་འགྲུབ་པོ། །
གལ་ཏེ་བུ་མེད་ཕ་མིན་ན། །བུ་ཉིད་གང་ལས་བྱུང་བ་ཡིན། །བུ་མེད་པར་ནི་ཕ་མེད་པ། །དེ་བཞིན་དེ་གཉིས་མེད་པ་ཉིད། །, ཕ་མེད་ཅེས་པ་ལ་སོགས་པ་ནི་རྗེས་སུ་མཐུན་པའི་དཔེ་སྟེ། འགའ་ཞིག་གིས་བུ་སྐྱེད་པ་ན་ཕར་འགྱུར་གྱི། ཇི་སྲིད་དུ་མ་བསྐྱེད་ཀྱི་བར་དེ་སྲིད་ནི་མ་ཡིན་ལ། ཇི་སྲིད་དུ་ཕ་མེད་པར་འགྱུར་གྱི་བར་དེ་སྲིད་དུ་བུའི་སྐྱེ་བ་ཡང་ཡོད་པ་མ་ཡིན་པས་གཉིས་ཀ་ཡང་མེད་པ་ཉིད་དོ། །དེ་སྐད་དུ་ཡང་། ཕན་ཚུན་ལྟོས་ནས་གཉིས་གྲུབ་པའི། །གཉིས་ཀའི་དོན་དམ་ཉིད་མ་ཡིན། །ཞེས་གསུངས་སོ། །དེ་བཞིན་དུ་ཤེས་པ་དང་ཤེས་བྱ་དག་ཀྱང་མ་གྲུབ་པ་ཉིད་དོ། །རྒོལ་བ་པོས་བརྗོད་པ་མྱུ་གུ་ཞེས་སྨོས་ཏེ། མཚོན་ཞེས་པ་ནི་གོ་བར་བྱེད་པའོ། །
མྱུ་གུ་ས་བོན་ལས་སྐྱེ་ཞིང་། །ས་བོན་དེ་ཉིད་ཀྱིས་རྟོགས་བཞིན། །ཤེས་བྱ་ལས་སྐྱེས་ཤེས་པ་ཡིས། །དེ་ཡོད་པ་ནི་ཅིས་མི་རྟོགས། །, མྱུ་གུ་ཉིད་བཞིན་དུ་ཤེས་པའི་ཤེས་བྱ་ཡོད་པ་ཉིད་དུ་ཅི་སྟེ་རྟོགས་ཤིང་གོམས་པར་མི་བྱེད་སྙམ་པ་ལ། སྒྲུབ་པ་པོས་བརྗོད་པ།
མྱུ་གུ་ལས་གཞན་ཤེས་པ་ཡིས། །ས་བོན་ཡོད་ཅེས་རྟོགས་འགྱུར་ན། །གང་ཕྱིར་ཤེས་བྱ་དེ་རྟོགས་པ། །ཤེས་པ་ཡོད་ཉིད་གང་ལས་རྟོགས། །, མྱུ་གུ་ལས་ཞེས་སྨོས་ཏེ། མྱུ་གུ་ལས་གཞན་དུ་གྱུར་པའི་ཤེས་པས་མྱུ་གུ་ཤེས་པར་བྱས་ནས་ས་བོན་ཡོད་དོ་ཞེས་གོ་བར་བྱེད་རྟོགས་པར་བྱེད་གྲང་ན། ཤེས་པ་ཡོད་པ་ཉིད་ནི་གང་ལས་ཀྱང་མ་ཡིན་ཏེ། རང་རིག་པ་མེད་པའི་ཕྱིར་ལ་ཤེས་པ་གཞན་གྱིས་ཀྱང་ཐུག་པ་མེད་པར་འགྱུར་བའི་ཕྱིར་རོ། །བརྟགས་པའི་ཕྱོགས་ལ་ནི་འཇིག་རྟེན་པའི་ཐ་སྙད་དུ་རྒྱུ་དང་འབྲས་བུའི་དངོས་པོ་དགག་པར་མི་བྱ་བ་ཉིད་ཡིན་གྱི་དེ་ཁོ་ན་ཉིད་དུ་མ་ཡིན་ནོ། །འདི་ལྟར་རང་བཞིན་དུ་སྨྲ་བ་ཉིད་རྒྱུ་མེད་པར་སྨྲ་བ་སྟེ། དེ་དག་ན་རེ་འགྲོ་བ་སྣ་ཚོགས་ནི་རྒྱུ་མེད་པ་ཉིད་ཡིན་པ་དེ་ལས་རྒྱུ་ལས་འབྱུང་བ་ག་ལ་སྲིད། དེས་ན་འགྲོ་བ་སྣ་ཚོགས་ནི་རྒྱུ་མེད་པ་ཉིད་དོ་ཞེས་འདོད་པར་བྱའོ། །དེ་སྐད་དུ་ཡང་། པདྨ་གེ་སར་ལ་སོགས་ཏེ། །རྣམ་པ་སྣ་ཚོགས་སུ་ཡིས་བྱས། །རྨ་བྱའི་མདོངས་ལ་སོགས་པ་ཡི། །སྣ་ཚོགས་ཁྲ་བོ་སུ་ཡིས་སྤྲུལ། །ཞེས་འབྱུང་བས་སོ་སྙམ་པ་ལ་ལན་བརྗོད་པ།
རེ་ཞིག་འཇིག་རྟེན་མངོན་སུམ་གྱིས། །རྒྱུ་རྣམས་ཐམས་ཅད་མཐོང་བ་ཡིན། །པདྨའི་སྡོང་བུ་སོགས་དབྱེ་ནི། །རྒྱུ་ཡི་དབྱེ་བས་བསྐྱེད་པ་ཡིན། །, རེ་ཞིག་ཅེས་པ་ནི་རྗེས་དཔག་ལ་ལྟོས་པ་སྟེ། རྒྱུ་བརྗོད་པས་དེ་ལ་གནོད་པའི་ཕྱིར་རོ། །
རྒྱུ་དབྱེ་གང་གིས་བྱས་ཞེ་ན། །སྔར་གྱི་རྒྱུ་དབྱེ་ཉིད་ལས་སོ། །ཅི་ཕྱིར་རྒྱུ་ཡིས་འབྲས་སྐྱེད་ནུས། །སྔར་གྱི་རྒྱུ་ཡི་མཐུ་ཉིད་ལས། །,
དབང་ཕྱུག་འགྲོ་བའི་རྒྱུ་ཡིན་ན། །རེ་ཞིག་དབང་ཕྱུག་གང་ཡིན་སྨྲོས། །འབྱུང་རྣམས་ཞེ་ན་དེ་ལྟ་མོད། །མིང་ཙམ་ལ་ཡང་ཅི་ཞིག་ངལ། །, སྣ་ཚོགས་འདི་ནི་དབང་ཕྱུག་རྒྱུར་བྱས་ནས་བྱུང་བ་ཡིན་ནོ་སྙམ་པ་ལ། དབང་ཕྱུག་ཅེས་སྨོས་ཏེ། སྨོས་ཞེས་པ་ནི་འདི་ཅི་འདྲ་བ་ཞིག་ཡིན་སྟོན་ཅིག་པའོ། །གལ་ཏེ་འབྱུང་རྣམས་ཏེ་ས་ལ་སོགས་པ་རྒྱུ་ཡིན་ན་ནི་ས་ལ་སོགས་པ་རྗེས་སུ་འགྲོ་བ་དང་ལྡོག་པའི་སྒོ་ནས་རྒྱུ་ཉིད་དུ་གྲུབ་པས་ཆོག་མོད། མིང་ཙམ་ལ་ངལ་བར་བྱེད་པ་ཅིའི་ཐ་ཚིག་གཞན་ཡང་སྒྲའི་སྒོ་ནས་སྐྱོན་རྟག་ཏུ་དགལ་བར་བྱ་བའི་ཕྱིར།
འོན་ཀྱང་ས་སོགས་དུ་མ་དང་། །མི་རྟག་གཡོ་མེད་ལྷ་མིན་ཞིང་། །འགོམ་བྱ་ཉིད་དང་མི་གཙང་བས། །དེ་ནི་དབང་ཕྱུག་ཉིད་མ་ཡིན། །, འོན་ཀྱང་ཞེས་སྨོས་ཏེ། དུ་མ་ཞེས་བྱ་བ་ནི་ས་ལ་སོགས་པའི་རང་བཞིན་དུ་མའོ། །མི་རྟག་པ་ནི་རྣམ་པར་འཇིག་པའོ། །སེམས་མེད་པ་ནི་ཤེས་པ་དང་བྲལ་བའི་ཕྱིར་རོ། །ལྷ་མ་ཡིན་པ་ནི་བརྟེན་པར་བྱ་བ་མ་ཡིན་པའོ། །འགོམས་དང་ཞེས་བྱ་བ་ནི་རྐང་པ་ལ་སོགས་པས་གནོན་ཅིང་འགོམས་པར་བྱ་བའོ། །མི་གཙང་བ་ནི་གང་ཞིག་བཙོག་པར་གྱུར་པ་རྣམས་སོ། །གལ་ཏེ་དབང་ཕྱུག་འདི་ནི་བསམ་དུ་མེད་པ་སྟེ།
དབང་ཕྱུག་མཁའ་མིན་གཡོ་མེད་ཕྱིར། །བདག་མིན་སྔར་ནི་བཀག་ཟིན་ཕྱིར། །བསམ་མིན་པ་ཡི་བྱེད་པོ་ཡང་། །བསམ་མིན་བརྗོད་པས་ཅི་ཞིག་བྱ། །, དེས་ན་དབང་ཕྱུག་རང་གི་ངོ་བོ་སྤྱད་ནས་ཅི་ཞིག་བྱ་སྙམ་པ་ལ། བསམ་མིན་ཞེས་སྨོས་ཏེ། དབང་ཕྱུག་བསམ་དུ་མེད་པ་ཡིན་ན། བྱེད་པ་ཉིད་ཀྱང་བསམ་དུ་མེད་པའི་ཕྱིར་བརྗོད་པ་པོ་ཉིད་དུ་ཡང་མི་རིགས་སོ། །གལ་ཏེ་དེའི་རང་གི་ངོ་བོ་ནི་ཤིན་ཏུ་མཚོན་པར་དཀའ་བས་ན་བསམ་ཞིང་དཔྱད་པར་མི་ནུས་ལ། འབྲས་བུ་ནི་འགྲོ་བ་ཀུན་གྱི་ཐུན་མོང་བ་ཡིན་པས་དེ་བསམ་པར་བྱ་བ་ཉིད་དོ་སྙམ་པ་ལ།
དེས་བསྐྱེད་འདོད་པའང་གང་ཞིག་ཡིན། །བདག་ནི་དེ་དང་ས་སོགས་དང་། །དབང་ཕྱུག་ངོ་བོའང་རྟག་མིན་ནམ། །ཤེས་པ་ཤེས་བྱ་ལས་སྐྱེ་དང་། །, དེས་ཞེས་བྱ་བ་ལ་སོགས་པ་སྨོས་ཏེ། དབང་ཕྱུག་དེས་ཅི་ཞིག་འབྲས་བུ་བསྐྱེད་པར་བྱ་བར་འདོད། གལ་ཏེ་བདག་ཡིན་ནོ་ཞེ་ན། བདག་དེ་ནི་རྟག་པ་ཡིན་ན་ཇི་ལྟར་བསྐྱེད་པར་བྱ་བའི་འབྲས་བུར་འགྱུར། ས་ལ་སོགས་པའི་འབྱུང་བ་རྣམས་ཀྱང་བསྐྱེད་པར་བྱ་བ་མ་ཡིན་ཏེ། རྡུལ་ཕྲ་རབ་རྣམས་རྟག་པ་ཡིན་པའི་ཕྱིར་རོ། །རགས་པའི་བྱ་བ་ནི་ཆུང་ངུ་ནས་དགག་པར་བྱ་བའོ། །དབང་ཕྱུག་ཅེས་བྱ་བ་ནས་དབང་ཕྱུག་ནི་རྟག་པ་དེས་བདག་ཉིད་བྱེད་པ་འགལ་བའོ། །འཁོར་བ་ཇི་སྲིད་ཡོད་ཀྱི་བར་དུ་ཞེས་བྱ་བ་ལས་སྐྱེས་པའི་ཤེས་པ་ཡང་ཐོག་མ་མེད་པས་ན་དེས་བྱས་པ་ནི་མ་ཡིན་ལ། རྣམ་པར་ཤེས་པས་སྐྱེད་པའི་དགེ་བ་ལ་སོགས་པའི་ལས་ལས་བྱུང་བའི་བདེ་བ་དང་། འདི་སྡུག་བསྔལ་དེ་དག་ཀྱང་དེས་བྱས་པ་མ་ཡིན་ནོ། །
