Source,target_gt,01_zero_shot,03_few_shot_advance,02_few_shot,04_commentary_assisted,06_glossary_assisted,07_commentary_and_glossary_assisted
ཇི་ལྟར་ཁྲག་ལ་བརྟེན་བཅས་ནས། །དུག་ནི་ལུས་ལ་ཁྱབ་འགྱུར་བ། །དེ་བཞིན་གླགས་ནི་རྙེད་པ་ན། །ཉེས་པས་སེམས་ལ་ཁྱབ་པར་འགྱུར། །,"Just as a poison spreads throughout the body through the flow of blood, likewise if they can get a chance, your wrongs will spread throughout your mind.","Just as poison spreads throughout the body When it enters the bloodstream, Likewise, when faults find an opportunity, They pervade the mind.","Just as poison, having depended on blood, Pervades throughout the body, Likewise, when an opportunity is found, Faults pervade throughout the mind.","Just as poison spreads throughout the body When it finds support in the blood, Likewise, when faults find an opportunity, They spread throughout the mind.","Just as poison spreads throughout the body When it finds its way into the blood, Likewise, when faults find an opportunity, They pervade and contaminate the mind.",,"As poison, finding blood to cling to, Spreads throughout the entire body, So too when faults find an opening, They pervade and consume the mind."
ཡུངས་མར་བཀང་བའི་སྣོད་བཀུར་ལ། །རལ་གྲི་ཐོགས་པས་དྲུང་བསྡད་དེ། །བོ་ན་གསོད་བསྡིགས་འཇིགས་པ་ལྟར། །བརྟུལ་ཞུགས་ཅན་གྱིས་དེ་བཞིན་སྒྲིམ། །,"Practitioners should concentrate, as fearful as someone holding a bowl that brims with oil before a swordsman who threatens death if any spills.","Carrying a vessel filled with mustard oil, While someone with a sword sits nearby, Fearing death if it spills - The disciplined practitioner should be just as vigilant.","Like one who carries a vessel filled with mustard oil, While another sits nearby holding a sword, Threatening death if it spills—with such fear, The disciplined practitioner should likewise be vigilant.","Like one who carries a vessel filled with oil, While another with a sword stands ready nearby, Threatening death if even a drop is spilled - So should the disciplined practitioner be vigilant.","Like one carrying a vessel filled with mustard oil, With a sword-bearer seated nearby, Fearing death if it should spill, So should the disciplined practitioner be vigilant.","Carrying a vessel filled with mustard oil, While one holding a sword sits nearby, As if threatened with death if it spills, in fear— The practitioner should concentrate just so.","Like one who bears a vessel brimming with oil, While sword in hand, another sits nearby, Threatened with death should but a drop be spilled, So should the practitioner maintain such guard."
ཉེས་པ་བྱུང་བ་རེ་རེ་ཞིང་། །བདག་ལ་སྨད་ནས་ཅི་ནས་ཀྱང་། །བདག་ལ་ཕྱིས་འདི་མི་འབྱུང་བ། །དེ་ལྟར་བྱ་ཞེས་ཡུན་རིང་བསམ། །,"For every single wrong that occurs, Chastise yourself and ponder long, “However I can, I'll make it so This never happens to me again.”","For each fault that occurs, Having criticized myself, by all means I will contemplate for a long time: ""How can I ensure this does not happen to me again?""","For each and every fault that has occurred, Having disparaged myself, by all means, ""That this will not occur to me later, I will act thus,"" contemplate for a long time.","For each and every fault that occurs, I will criticize myself and think at length: ""How can I ensure that this Will never happen to me again?""","For each mistake that occurs, Having criticized myself, by all means, So that this does not happen to me again in the future, I will think long and hard about how to act.","For each fault that has occurred, Having chastised myself, I will ponder for a long time: ""How can I ensure this does not happen to me again?""","For each fault that comes to pass, Chastising self, by all means I'll Resolve that this won't happen again— Thus ponder I for a long time."
ཇི་ལྟར་གནས་སྐབས་འདི་དག་ལ། །དྲན་པ་གོམས་པ་ཉིད་འགྱུར་ཞེས། །རྒྱུ་འདི་ཡིས་ནི་ཕྲད་པའམ། །རིགས་པའི་ལས་ནི་འདོད་པར་བྱ། །,"“In circumstances such as this, How shall I practice mindfulness?” With that as cause, you should seek out A meeting and appropriate action.","Just as mindfulness becomes habitual In these temporary states, By this cause one should desire To encounter or engage in logical actions.","Just as in these circumstances, Mindfulness becomes habituated, it is said. By this cause, one should desire To encounter or engage in appropriate actions.","Just as one becomes habituated to mindfulness In these temporary states, By this cause, one should desire To encounter or engage in appropriate actions.","Just as one becomes accustomed to mindfulness In these various situations, One should desire to meet with a spiritual friend Or engage in activities of reasoning.","Just as in these circumstances, Mindfulness becomes habituated, it is said. By this cause, one encounters Or desires to engage in logical actions.","How in these various circumstances Might mindfulness become ingrained? By this cause: meeting guides, or else Engaging in right acts, we should aspire."
ཅི་ནས་ལས་བྱེད་སྔོན་རོལ་ནས། །ཐམས་ཅད་ལ་ནི་མཐུ་ཡོད་པ། །དེ་ལྟར་བག་ཡོད་གཏམ་དྲན་ཏེ། །བདག་ཉིད་ལྡང་བ་ཡང་བར་བྱ། །,"Before you act, no matter what, to have the strength for everything, recall the words on carefulness so that you will be light and nimble.","Before undertaking any action, Consider if you have the ability for all aspects. Thus, mindfully recalling this advice, One should rise up with lightness and ease.","In order to be able to perform all actions beforehand, Thus remembering the words of mindfulness, I should rise quickly by myself.","Before undertaking any action, One should have the ability for all things. Thus, mindfully recalling this advice, One should rise up with lightness and ease.","Before engaging in any action, One should have the power for all tasks. Thus, remembering the words on mindfulness, One should rise with lightness and enthusiasm.","Before performing any action, Consider that all things have power. Thus, remembering words of carefulness, One should make oneself nimble and alert.","Before engaging in any act, ensure The power to accomplish all is near. Recall the words on carefulness here, And rise with nimbleness, free from fear."
ཇི་ལྟར་རླུང་ནི་འགྲོ་བ་དང་། །འོང་བས་ཤིང་བལ་དབང་བསྒྱུར་བ། །དེ་བཞིན་སྤྲོ་བས་དབང་བསྒྱུར་ཏེ། །དེ་ལྟར་ན་ནི་འགྲུབ་པར་འགྱུར། །,"As tufts of cotton are directed by wind as it moves to and fro, so, too, is all accomplished under direction of enthusiasm.","Just as the wind controls cotton By its coming and going, So too does enthusiasm control the mind. In this way, accomplishment will occur.","Just as the wind controls cotton By its going and coming, Likewise, one controls through joy; Thus, accomplishment will occur.","Just as the wind controls cotton By its coming and going, So too enthusiasm controls the mind. Thus, in this way, accomplishment will occur.","Just as the wind controls cotton By its coming and going, So too, enthusiasm controls our actions. Thus, accomplishment will be achieved.","Just as the wind controls cotton By its coming and going, Likewise, enthusiasm controls one's practice. In this way, accomplishment will occur.","As wind directs cotton's coming and going, So enthusiasm masters our actions' flowing. Thus controlled, all virtues start growing, Accomplishment surely keeps on showing."
དེ་ལྟར་བརྩོན་འགྲུས་བསྐྱེད་ནས་ནི། །ཡིད་ནི་ཏིང་ངེ་འཛིན་ལ་བཞག །སེམས་ནི་རྣམ་པར་གཡེངས་པའི་མི། །ཉོན་མོངས་མཆི་བའི་ཕྲག་ན་གནས། །,"After thus rousing diligence, settle your mind into samadhi. A person whose mind wanders perches between the fangs of the afflictions.","Having thus generated diligence, Place the mind in meditative concentration. A person whose mind is distracted Dwells between the fangs of afflictive emotions.","Having thus generated diligence, One should place the mind in samādhi. A person whose mind is distracted Dwells between the fangs of afflictions.","Having thus generated diligence, Set the mind in meditative concentration. A person whose mind is distracted Dwells in the jaws of afflictions.","Having thus generated diligence, Place the mind in concentration. A person whose mind is distracted Dwells between the fangs of afflictions.","Thus, having generated diligence, The mind is placed in deep meditative concentration. A person whose mind wanders Dwells in the midst of afflictions.","Thus, having aroused diligence, Place the mind in samadhi; One whose mind wanders distracted Dwells between afflictions' fangs."
ལུས་དང་སེམས་ནི་དབེན་པ་ཡིས། །རྣམ་པར་གཡེང་བ་མི་འབྱུང་ངོ་། །དེ་བས་འཇིག་རྟེན་སྤང་བྱ་ཞིང་། །རྣམ་པར་རྟོག་པ་ཡོངས་སུ་དོར། །,"With solitude of body and mind, Distraction won't occur. So you should thus forsake the world And also give up discursive thoughts.","Through seclusion of body and mind, Distractions do not arise. Therefore, renounce worldly affairs, And completely abandon conceptual thoughts.","Through seclusion of body and mind, Distractions will not arise. Therefore, worldly concerns should be abandoned, And conceptual thoughts entirely discarded.","Through seclusion of body and mind, Distractions will not arise. Therefore, abandon worldly affairs, And completely discard conceptual thoughts.","Through physical and mental solitude, Distraction will not arise. Therefore, abandon worldly affairs, And completely discard conceptual thoughts.","Through solitude of body and mind, Distraction does not arise. Therefore, one should give up the world, And completely abandon discursive thoughts.","Through solitude of body and of mind, Distractions shall no longer arise. Thus, abandon worldly engagements, And wholly discard conceptual thoughts."
ཆགས་པའི་ཕྱིར་དང་རྙེད་སོགས་ལ། །སྲེད་པས་འཇིག་རྟེན་མི་སྤོང་སྟེ། །དེ་བས་འདི་དག་ཡོངས་སྤོངས་ལ། །མཁས་པས་འདི་ལྟར་དཔྱད་པར་བྱ། །,"You won't renounce the world if attached Or else if you crave goods and such. In order to abandon those, The wise should contemplate like this:","Due to attachment and craving for gain and the like, One does not renounce worldly things. Therefore, completely abandoning these, The wise should investigate in this way.","Due to attachment and craving for gain and so forth, One does not renounce the world. Therefore, completely abandoning these, The wise should analyze thus.","Due to attachment and craving for gain and the like, One does not renounce worldly things. Therefore, completely abandoning these, The wise should analyze in this way.","Due to attachment to beings and craving for gains and the like, One does not renounce worldly concerns. Therefore, completely abandoning these, The wise should practice contemplation in this way.","Due to attachment and craving for goods and such, Worldly people do not renounce. Therefore, completely abandoning these, The wise should investigate in this way.","For attachment's sake and craving gains, The world one fails to cast away; Thus, wisely shun these bonds complete, And contemplate in this skilled way."
ཞི་གནས་རབ་ཏུ་ལྡན་པའི་ལྷག་མཐོང་གིས། །ཉོན་མོངས་རྣམ་པར་འཇོམས་པར་ཤེས་བྱས་ནས། །ཐོག་མར་ཞི་གནས་བཙལ་བྱ་དེ་ཡང་ནི། །འཇིག་རྟེན་ཆགས་པ་མེད་ལ་མངོན་དགས་འགྲུབ། །,"Realizing that afflictions are destroyed By shamatha and insight in conjunction, First seek out shamatha, which comes from joy For having no attachment to the world.","Knowing that insight endowed with perfect calm Thoroughly destroys the afflictions, One should first seek calm abiding; This is accomplished through joy in detachment from worldly concerns.","Having understood that insight endowed with calm abiding Thoroughly destroys the afflictions, One should first seek calm abiding; it is accomplished Through joy in detachment from worldly attachments.","Knowing that insight endowed with perfect calm Thoroughly destroys the afflictions, One should first seek calm abiding. This is accomplished through joy In detachment from worldly attachments.","Knowing that vipashyana, endowed with powerful shamatha, Thoroughly destroys afflictions, One should first seek shamatha; This is accomplished through joy in non-attachment to the world.","Knowing that insight, endowed with perfect shamatha, Destroys the afflictions completely, One should first seek shamatha. This is accomplished through joy in freedom from worldly attachment.","With insight fully endowed with shamatha, Knowing how to vanquish all afflictions, First seek shamatha, which is attained Through joy in freedom from worldly attachment."
མི་རྟག་སུ་ཞིག་མི་རྟག་ལ། །ཡང་དག་ཆགས་པར་བྱེད་པ་ཡོད། །དེས་ནི་ཚེ་རབས་སྟོང་ཕྲག་ཏུ། །སྡུག་པ་མཐོང་བར་ཡོང་མི་འགྱུར། །,"Who is someone ephemeral to cling to the impermanent? In a thousand lives, you'll never see the ones who were so dear to you.","Who, knowing impermanence, would cling to the impermanent? One who does so will not see their beloved For thousands of lifetimes to come.","Who, being impermanent, forms genuine attachment to the impermanent? They will never see their beloved for thousands of lifetimes.","Who among the impermanent clings To that which is truly impermanent? For thousands of lifetimes, they Will never see what they hold dear.","Who, being impermanent themselves, becomes attached to the impermanent? By doing so, for thousands of lifetimes, They will never see their beloved again.","Who, being impermanent, becomes truly attached to the impermanent? They will not see their dear ones for thousands of lives.","Who, impermanent, clings to the fleeting? Yet some truly attach to the transient. Through thousands of lives, such folly Keeps them from seeing their dear ones again."
མ་མཐོང་ན་ནི་དགར་མི་འགྱུར། །ཡིད་ཀྱང་མཉམ་འཇོག་མི་འགྱུར་ལ། །མཐོང་ཡང་ངོམས་པར་མི་འགྱུར་བས། །སྔར་བཞིན་སྲེད་པས་གདུང་བར་འགྱུར། །,"Not seeing them, you'll feel no joy. Your mind won't rest in equipoise. Even seeing them won't be enough— Craving will plague you as before.","If not seen, one does not become joyful. The mind also does not become evenly placed. Even when seen, one does not become satisfied. As before, one becomes tormented by craving.","If not seen, one will not be pleased. Even the mind will not attain equanimity. And even when seen, one will not be satisfied. As before, one will be tormented by craving.","If not seen, one does not become pleased. The mind also does not become settled. Even when seen, one does not become satisfied. As before, one becomes tormented by craving.","When not seen, there is no joy. The mind cannot remain stable. Even when seen, there is no satisfaction. Thus, as before, one suffers from craving.","If not seen, one will not be pleased. The mind also will not enter equipoise. Even when seen, one will not be satisfied. As before, one will be tormented by craving.","Unseen, joy does not arise in the mind, Nor can the mind settle in equipoise. Even when seen, satisfaction eludes, As before, craving's torment persists."
སེམས་ཅན་རྣམས་ལ་ཆགས་བྱས་ན། །ཡང་དག་ཉིད་ལ་ཀུན་ནས་སྒྲིབ། །སྐྱོ་བའི་སེམས་ཀྱང་འཇིག་པར་བྱེད། །ཐ་མར་མྱ་ངན་གདུང་བར་འགྱུར། །,Being attached to sentient beings obscures completely the true nature and wrecks world weariness as well. Grief will torment you in the end.,"If one becomes attached to sentient beings, It completely obscures the ultimate truth. It also destroys the mind of renunciation, And finally leads to sorrow and anguish.","If one becomes attached to sentient beings, It completely obscures true reality. It also destroys the mind of renunciation. In the end, one becomes tormented by sorrow.","If one becomes attached to sentient beings, It completely obscures the ultimate truth. It also destroys the mind of renunciation, And finally leads to sorrow and anguish.","If one becomes attached to sentient beings, It completely obscures the perception of true reality. It destroys the mind's capacity for disillusionment, And finally leads to torment from sorrow.","If one becomes attached to sentient beings, It obscures the true nature of reality. It also destroys the mind of weariness, And ultimately leads to grief and travails.","If attached to sentient beings, one becomes Obscured to the nature of reality. The mind of weariness is destroyed, At last, tormented by grief's intensity."
དེ་ལ་སེམས་པ་འབའ་ཞིག་གིས། །ཚེ་འདི་དོན་མེད་འདའ་བར་འགྱུར། །རྟག་པ་མེད་པའི་མཛའ་བཤེས་ཀྱིས། །གཡུང་དྲུང་ཆོས་ཀྱང་འཇིག་པར་འགྱུར། །,"Because you only think of them, your life will pass by pointlessly. Inconstant friends and relatives will ruin even constant dharma.","By mere thinking alone, This life will pass without meaning. Through impermanent friends and companions, Even the eternal Dharma will be destroyed.","By mere thinking alone, This life will pass meaninglessly. Due to impermanent friends, Even the eternal Dharma will be destroyed.","By mere thoughts alone, This life will pass meaninglessly. Through impermanent friends and loved ones, Even the eternal Dharma will be destroyed.","By mere thoughts of worldly concerns, This life passes meaninglessly. Through impermanent friends, Even the eternal Dharma is destroyed.","By merely thinking, This life will pass meaninglessly. Through inconstant friends, Even the constant dharma will perish.","By mere thoughts of worldly ties, This life passes, purpose denied. Through fleeting bonds of friend and kin, Even constant dharma may rescind."
བྱིས་དང་སྐལ་བ་མཉམ་སྤྱོད་ན། །ངེས་པར་ངན་འགྲོར་འགྲོ་འགྱུར་ཏེ། །སྐལ་མི་མཉམ་པར་ཁྲིད་བྱེད་ན། །བྱིས་པ་བསྟེན་པས་ཅི་ཞིག་བྱ། །,"Acting the same as childish folk, You'll surely go to the lower realms. They lead you to unsuitable states— What good's the company of fools?","If you associate with fools as equals, You will surely go to lower realms. If you lead them as unequals, What use is there in relying on fools?","If one engages with the childish as an equal, One will certainly go to the lower realms. If one leads them as unequals, What's the use of associating with the childish?","If you associate with fools as equals, You will certainly go to lower realms. If you lead those who are not your equals, What use is there in relying on fools?","If one associates with the foolish as equals, One will certainly fall into lower realms. If one leads others away from the noble path, What's the use of keeping company with fools?","If one associates with fools and acts like them, One will certainly go to the lower realms. If they lead you to unsuitable states, What use is there in relying on childish folk?","If you act like fools of equal fortune, You'll surely descend to lower realms; If led to unsuitable states instead, What use is keeping childish company?"
སྐད་ཅིག་གཅིག་གིས་མཛའ་འགྱུར་ལ། །ཡུད་ཙམ་གྱིས་ནི་དགྲར་ཡང་འགྱུར། །དགའ་བའི་གནས་ལ་ཁྲོ་བྱེད་པས། །སོ་སོའི་སྐྱེ་བོ་མགུ་བར་དཀའ། །,"One moment, friends, but in the next They're enemies. They are incensed By what should please them. It is hard To gratify ordinary beings.","In an instant one becomes a friend, And in a moment turns into an enemy. Becoming angry at what brings joy, Ordinary beings are difficult to please.","In an instant they become friends, And in a moment they turn into enemies. They become angry at objects of joy, So ordinary beings are difficult to please.","In an instant one can become a friend, And in a moment turn into an enemy. Because they get angry at what pleases them, Ordinary beings are difficult to satisfy.","In an instant they become friends, Yet in a moment they turn into enemies. They grow angry even at joyful, virtuous things, Thus ordinary beings are difficult to please.","In an instant, one becomes a friend, And in a moment, turns into an enemy. Becoming angry at what was once a source of delight, Ordinary beings are difficult to please.","In an instant, friends they become, Yet in a moment, turn to foes. At joyous deeds, they anger show— Ordinary beings, hard to please."
ཕན་པར་སྨྲས་ན་ཁྲོ་བར་བྱེད། །བདག་ཀྱང་ཕན་ལས་བཟློག་པར་བྱེད། །དེ་དག་ངག་ནི་མ་མཉན་ན། །ཁྲོ་བས་ངན་འགྲོར་འགྲོ་བར་འགྱུར། །,"Angered by talk of what is helpful, They turn me away from my own welfare. If I don't listen to their words, They'll go to lower realms, enraged.","When spoken to beneficially, they become angry. They also turn away from what benefits them. If their words are not heeded, They will go to lower realms due to anger.","When beneficial words are spoken, they become angry. They also make me turn away from benefit. If their speech is not heeded, Due to anger, they will go to the lower realms.","When spoken to beneficially, they become angry. They also turn away from what is helpful. If their words are not heeded, They will go to lower realms due to anger.","When beneficial advice is given, they become angry. I too turn away from giving such benefit. If their words are not heeded, Their anger will lead them to lower realms.","When beneficial words are spoken, they become angry. I too am made to turn away from benefit. If their words are not heeded, Due to anger, they will go to the lower realms.","When benefit is spoken, they respond with rage, I too am turned away from offering aid. If these words of mine remain unheeded, Anger drives them to lower realms, their fate."
མཐོ་ལ་ཕྲག་དོག་མཉམ་དང་འགྲན། །དམའ་ལ་ང་རྒྱལ་བསྟོད་ན་དྲེགས། །མི་སྙན་བརྗོད་ན་ཁོང་ཁྲོ་སྐྱེ། །ནམ་ཞིག་བྱིས་ལས་ཕན་པ་ཐོབ།,"They're jealous of superiors; Competitive with their own equals. They're proud toward their inferiors And arrogant when they are praised. When you reproach them, they get angry. When is there benefit from the childish?","Jealousy and rivalry toward those above, Pride and arrogance toward those below, Anger arising when hearing unpleasant words - When will benefit ever come from such childish ways?","Jealous of the superior, competing with equals; Proud towards the inferior, arrogant when praised; If unpleasant words are spoken, anger arises; When will benefit ever come from the immature?","Envy the high and compete with equals; Look down on the low, grow arrogant when praised. When hearing unpleasant words, anger arises. When will benefit ever come from childish beings?","Envy the high and compete with equals, Show pride to the low and become arrogant when praised. Anger arises when unpleasant words are spoken. When will benefit ever come from such childish behavior?","Envy the superior and compete with equals. Pride towards the inferior, arrogance when praised. Anger arises when disparaged. When will benefit be gained from such childish folk?","Jealous of superiors, rivaling peers, Proud towards inferiors, praise breeds conceit. When reproached, anger swiftly appears. When from fools can benefit be reaped?"
བྱིས་དང་འགྲོགས་ན་བྱིས་པ་ལ། །བདག་བསྟོད་གཞན་ལ་སྨོད་པ་དང་། །འཁོར་བར་དགའ་བའི་གཏམ་ལ་སོགས། །མི་དགེ་ཅིས་ཀྱང་ངེས་པར་འབྱུང་། །,"When you keep company with the childish, you praise yourself, belittle others, talk of samsara and such with them— nonvirtue inevitably occurs.","When associating with the childish, Self-praise, criticism of others, And talk delighting in samsara - Such non-virtues will surely arise.","When associating with childish people, Self-praise, criticizing others, And talk delighting in saṃsāra and so forth— Non-virtue will certainly arise by all means.","When associating with childish people, Self-praise, criticism of others, And talk delighting in samsara - Such non-virtues will certainly arise.","When associating with the immature, Self-praise and criticism of others, Along with talk delighting in cyclic existence, Will inevitably lead to non-virtuous actions.","When associating with childish folk, Self-praise and disparaging others, Along with words delighting in samsara, Nonvirtue will certainly arise.","When keeping company with childish folk, Self-praise and disparaging others arise, Words delighting in samsara and such— Nonvirtue will certainly come to pass."
དེ་ལྟར་བདག་དང་གཞན་བསྟེན་པ། །དེས་ནི་ཕུང་བར་འགྱུར་བར་ཟད། །དེས་ཀྱང་བདག་དོན་མ་བྱས་ལ། །བདག་ཀྱང་དེ་དོན་མི་འགྱུར་བས། །,"In this way, my associating With them will only bring me ruin. They will not bring me benefit, And I won't benefit them either.","Thus, relying on self and others Will only lead to ruin. By that, one's own purpose is not accomplished, And one does not become beneficial to others.","In that way, relying on self and others Will merely result in ruin. By that, one's own purpose is not accomplished, And one will not become beneficial for them either.","Thus, relying on self and others Will only lead to ruin. By that, one's own purpose is not accomplished, And one does not become beneficial to others.","Thus, relying on oneself and others Only leads to ruin, nothing more. They do not accomplish one's own purpose, Nor does one fulfill their purpose either.","Thus, relying on self and others Will only bring ruin. By that, one has not acted for one's own benefit, And oneself will not become of benefit to them.","Thus, relying on self and other, Merely leads to utter ruin; Neither does it serve one's purpose, Nor does one fulfill their aim."
བྱིས་ལས་ཐག་རིང་བྱོལ་བར་བྱ། །ཕྲད་ན་དགའ་བས་མགུ་བྱས་ཏེ། །འདྲིས་ཆེན་ཉིད་དུ་མི་འགྱུར་བར། །ཐ་མལ་པ་ཙམ་ལེགས་པར་བྱ། །,"Flee far away from childish folk. Be friendly when you do meet them, And without getting too familiar, Dispassionately behave well.","Stay far away from childish people. If you meet them, be pleasant and courteous, But do not become too familiar with them. It is best to maintain an ordinary, neutral relationship.","Avoid and stay far from the childish. If you meet, please them with joy, But without becoming too familiar, Maintain just an ordinary relationship.","Stay far away from childish people. If you meet them, be pleasant and cordial, But do not become too familiar. It is best to remain ordinary with them.","Stay far away from the immature and flee from them. If you encounter them, please them with a joyful demeanor. Without becoming too familiar, Maintain a neutral, ordinary relationship with them.","Flee far away from foolish people. If you meet them, be respectfully delighted, But do not become too familiar. It is best to remain merely ordinary.","From childish folk, flee far away; If met, with friendly respect engage; Yet guard against familiarity, Maintain an ordinary visage."
བུང་བས་མེ་ཏོག་སྦྲང་རྩི་བཞིན། །ཆོས་ཀྱི་དོན་ཙམ་བླངས་ནས་ནི། །ཀུན་ལས་སྔོན་ཆད་མ་མཐོང་བཞིན། །འདྲིས་པ་མེད་པར་གནས་པར་བྱ། །,"Just like a bee with flower nectar, I'll only take for dharma's sake And live unacquainted with anyone, As though I'd never seen them before.","Like a bee gathering nectar from flowers, Take only the essence of the Dharma. As if never seen before by anyone, Dwell without attachment or familiarity.","Like a bee taking honey from flowers, Having extracted just the essence of the Dharma, As if never seen before by anyone, One should abide without familiarity.","Like a bee gathering nectar from flowers, Taking only the essence of the Dharma, As if never seen before by anyone, One should remain without familiarity.","Like a bee gathering nectar from flowers, Extract only the essence of the Dharma. Then dwell as if you've never seen anyone before, Remaining without familiarity.","Like a bee collecting nectar from flowers, Taking up only the essence of the Dharma, As if never seen before by anyone, One should dwell without acquaintance.","Like bees gathering nectar from flowers, Take only the essence of the Dharma, As if never seen before by anyone, Dwell without forming attachments."
བདག་ནི་རྙེད་མང་བཀུར་སྟི་བཅས། །བདག་ལ་མང་པོ་དགའ་འོ་ཞེས། །དེ་འདྲའི་སྙེམས་པ་འཆང་གྱུར་ན། །ཤི་བའི་འོག་ཏུ་འཇིགས་པ་སྐྱེ། །,"“I get a lot and am respected; Many people are fond of me.” If you cling to conceits like these, You will face terrors after death.","If I hold such arrogant thoughts as: ""I have many possessions and honors, Many people are fond of me,"" Then after death, fear will arise.","If I hold such pride, thinking: ""I have many gains and honors; Many are pleased with me,"" Fear will arise after death.","If I hold such arrogant thoughts as: ""I have many possessions and honors, Many people are fond of me"" - After death, fear will arise.","If I harbor pride, thinking: ""I have many possessions and honors, And many people adore me,"" Fear will arise after death.","If I cling to conceit, thinking: ""I receive many things and respect, Many people like me,"" After death, fear will arise.","If I cling to conceited thoughts like these: ""I have many gains and much respect, And many people are fond of me,"" Fear will arise after death's release."
དེ་བས་རྣམ་པར་རྨོངས་པའི་ཡིད། །གང་དང་གང་ལ་ཆགས་གྱུར་པ། །དེ་དང་དེ་བསྡོངས་སྟོང་འགྱུར་དུ། །སྡུག་བསྔལ་ཉིད་དུ་གྱུར་ཅིང་ལྡང་། །,"The passions of a deluded mind, Whatever it may be they are for, Are multiplied a thousand times To then rise up as suffering.","Therefore, the deluded mind, Whatever it becomes attached to, When joined with that object, a thousandfold It becomes suffering and arises as such.","Therefore, the completely deluded mind, To whatever it becomes attached, United with that very thing, a thousand-fold Becomes suffering and increases.","Therefore, the deluded mind, To whatever it becomes attached, That very thing, a thousandfold, Turns to suffering and rises up.","Therefore, the deluded mind, To whatever it becomes attached, When joined with that object, becomes A thousandfold suffering and arises as such.","Therefore, the deluded mind, To whatever it becomes attached, That very thing, multiplied a thousand times, Turns into suffering and arises.","Thus the mind, obscured by delusion, To whatever it becomes attached, When joined with that, a thousandfold Rises as suffering intensified."
དེ་བས་མཁས་པས་ཆགས་མི་བྱ། །ཆགས་པ་ལས་ནི་འཇིགས་པ་སྐྱེ། །འདི་དག་རང་བཞིན་འདོར་འགྱུར་བས། །བརྟན་པར་གྱིས་ཏེ་རབ་ཏུ་རྟོགས། །,"Therefore the wise do not desire. It's from desires that fear arises. They'll be discarded naturally, So understand this and be steadfast.","Therefore, the wise do not become attached. From attachment, fear is born. Since all these things will naturally be abandoned, Be steadfast and realize this deeply.","Therefore, the wise should not be attached. From attachment, fear is born. As these things will naturally be discarded, Make yourself stable and fully realize this.","Therefore, the wise should not be attached. From attachment, fear is born. Since these things are naturally discarded, Be steadfast and realize this fully.","Therefore, the wise should not become attached. From attachment, fear is born. As these things are naturally discarded, Establish firmness and thoroughly understand.","Therefore, the wise do not become attached. From attachment, fear is born. As these things are naturally discarded, Be steadfast and realize this deeply.","Thus the wise shun attachment's snare, For from desire springs dread and fear. All things by nature fade away, Firmly grasp this, and clearly see."
རྙེད་པ་དག་ནི་མང་བྱུང་ཞིང་། །གྲགས་དང་སྙན་པ་བྱུང་གྱུར་ཀྱང་། །རྙེད་དང་གྲགས་པའི་ཚོགས་བཅས་ཏེ། །གང་དུ་འདོང་བའི་གཏོལ་མེད་དོ། །,"Even if you gain many things and become popular and renowned, it is uncertain where you'll go along with all those goods and fame.","Though many gains may come, And fame and praise may arise, With all these accumulations of gain and renown, There is no certainty where one will go.","Though many gains have arisen, And fame and renown have come about, With accumulations of gain and fame, There is no recourse wherever one goes.","Though many gains may come and fame and praise arise, There is no certainty where one will go With all these accumulations of Attainments, renown, and accolades.","Though gains may be plentiful, And fame and renown may arise, With all these accumulations of gain and fame, There is no certainty where one will go.","Though many material gains have arisen, And fame and good reputation have come about, Along with an accumulation of gains and renown, It is uncertain where they will go.","Though gains may come in great abundance, And fame and praise may widely spread, With all these riches, renown amassed, Uncertain where one's path will lead."
བདག་ལ་སྨོད་པ་གཞན་ཡོད་ན། །བསྟོད་པས་བདག་དགར་ཅི་ཞིག་ཡོད། །བདག་ལ་བསྟོད་པ་གཞན་ཡོད་ན། །སྨད་པས་མི་དགར་ཅི་ཞིག་ཡོད། །,"When someone else disparages me, What joy is there for me in praise? When someone else is lauding me, Why be displeased when I am slandered?","If others criticize me, What joy is there in praise? If others praise me, What sorrow is there in criticism?","If others criticize me, What is there to be pleased about if praised? If others praise me, What is there to be displeased about if disparaged?","If others criticize me, What joy is there in praise? If others praise me, What sorrow is there in criticism?","If others criticize me, What is there to be pleased about when praised? If others praise me, What is there to be displeased about when criticized?","If others disparage me, What is there to be pleased about when praised? If others praise me, What is there to be displeased about when criticized?","If others disparage me, Why should praise bring me delight? If others praise me, Why should criticism cause spite?"
